,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,ETFC,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-09-30,158400000,9600000,16.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,94950000,7500000,12.0,2100000,4.0,BUY-MORE,4 - Mid
1,MEOH,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-09-30,148683000,2900000,51.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,111371000,2600000,42.0,300000,9.0,BUY-MORE,5 - Large
2,HII,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-09-30,142895000,2120097,67.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,133364000,2361253,56.0,-241156,11.0,BUY-MORE,4 - Mid
3,ESRX,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-09-30,129780000,2100000,61.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,135828000,2200000,61.0,-100000,0.0,BUY-MORE,5 - Large
4,STT,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-09-30,121638000,1850000,65.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,78252000,1200000,65.0,650000,0.0,BUY-MORE,5 - Large
5,MCO,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-09-30,105495000,1500000,70.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,115767000,1900000,60.0,-400000,10.0,BUY-MORE,5 - Large
6,ADBE,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-09-30,103880000,2000000,51.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,100232000,2200000,45.0,-200000,6.0,BUY-MORE,5 - Large
7,LAMR,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-09-30,103466000,2200000,47.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,84688000,1951787,43.0,248213,4.0,SELL-PARTIAL,5 - Large
8,HRB,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-09-30,93310000,3500000,26.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,83250000,3000000,27.0,500000,-1.0,BUY-MORE,5 - Large
9,GM,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-09-30,89925000,2500000,35.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,66620000,2000000,33.0,500000,2.0,BUY-MORE,4 - Mid
10,GM,SOUTHPOINT CAPITAL ADVISORS LP,WNT,2013-09-30,5200000,1300000,4.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,66620000,2000000,33.0,-700000,-29.0,SELL-PARTIAL,5 - Large
11,QRTEA,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-09-30,76278000,3250000,23.0,SOUTHPOINT CAPITAL ADVISORS LP,SHR,2013-06-30,97793000,4250000,23.0,-1000000,0.0,SELL-PARTIAL,5 - Large
