,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,SSNLF,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,409234000,643444,636.0,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,381698000,649655,587.0,-6211,49.0,SELL-PARTIAL,5 - Large
1,MKL,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,287887000,556013,517.0,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,292355000,554806,526.0,1207,-9.0,SELL-PARTIAL,5 - Large
2,PKX,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,254889000,3461286,73.0,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,227981000,3503086,65.0,-41800,8.0,BUY-MORE,5 - Large
3,WFC,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,242916000,5878881,41.0,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,250063000,6059191,41.0,-180310,0.0,SELL-PARTIAL,5 - Large
4,MMM,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,241814000,2025080,119.0,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,230453000,2107480,109.0,-82400,10.0,BUY-MORE,4 - Mid
5,PBR,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,212245000,13702088,15.0,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,155331000,11574588,13.0,2127500,2.0,SELL-PARTIAL,5 - Large
6,RYAAY,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,197359000,3967810,49.0,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,230340000,4470010,51.0,-502200,-2.0,SELL-PARTIAL,6 - Mega
7,APA,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,184505000,2167081,85.0,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,189269000,2257781,83.0,-90700,2.0,SELL-PARTIAL,6 - Mega
8,BRK.B,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,181852000,1602075,113.0,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,192168000,1717015,111.0,-114940,2.0,SELL-PARTIAL,6 - Mega
9,PG,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,177853000,2352858,75.0,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,201125000,2612358,76.0,-259500,-1.0,BUY-MORE,4 - Mid
