,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,QIHU,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,416491000,5005900,83.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,318573000,6900000,46.0,-1894100,37.0,BUY-MORE,5 - Large
1,CAR,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,288300000,10000000,28.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,287500000,10000000,28.0,0,0.0,SELL-PARTIAL,6 - Mega
2,HTZ,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,177280000,8000000,22.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,198400000,8000000,24.0,0,-2.0,HOLD,5 - Large
3,FLEX,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,90900000,10000000,9.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,89002000,11498991,7.0,-1498991,2.0,HOLD,4 - Mid
4,FTNT,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,86105000,4250000,20.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,27377000,1564376,17.0,2685624,3.0,BUY-MORE,6 - Mega
5,QLIK,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,68460000,2000000,34.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,92966000,3288501,28.0,-1288501,6.0,BUY-MORE,5 - Large
6,G,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,58309000,3088400,18.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,59421000,3088400,19.0,0,-1.0,BUY-MORE,5 - Large
7,ST,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,57405000,1500000,38.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,52350000,1500000,34.0,0,4.0,SELL-PARTIAL,6 - Mega
8,ALSN,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,14926000,595831,25.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,13752000,595831,23.0,0,2.0,SELL-PARTIAL,5 - Large
9,INXN,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,4115000,185041,22.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,10191000,390000,26.0,-204959,-4.0,HOLD,5 - Large
0,QIHU,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,410734000,5005900,82.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,416491000,5005900,83.0,0,-1.0,BUY-MORE,5 - Large
1,CAR,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,404200000,10000000,40.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,288300000,10000000,28.0,0,12.0,SELL-PARTIAL,6 - Mega
2,FB,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,273245000,5000000,54.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,251150000,5000000,50.0,0,4.0,HOLD,5 - Large
3,HTZ,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,228960000,8000000,28.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,177280000,8000000,22.0,0,6.0,HOLD,4 - Mid
4,SCTY1,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,139777000,2460000,56.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,45612000,1318269,34.0,1141731,22.0,BUY-MORE,6 - Mega
5,SWI1,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,132405000,3500000,37.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,35060000,1000000,35.0,2500000,2.0,BUY-MORE,5 - Large
6,COLE,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,46163000,3287956,14.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,36780000,3000000,12.0,287956,2.0,BUY-MORE,5 - Large
7,FTNT,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,24799000,1296328,19.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,86105000,4250000,20.0,-2953672,-1.0,SELL-PARTIAL,6 - Mega
8,ALSN,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,16451000,595831,27.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,14926000,595831,25.0,0,2.0,SELL-PARTIAL,5 - Large
0,CAR,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,487000000,10000000,48.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,404200000,10000000,40.0,0,8.0,BUY-MORE,5 - Large
1,QIHU,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,447064000,4489493,99.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,410734000,5005900,82.0,-516407,17.0,SELL-PARTIAL,6 - Mega
2,FB,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,301200000,5000000,60.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,273245000,5000000,54.0,0,6.0,HOLD,5 - Large
3,HTZ,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,213120000,8000000,26.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,228960000,8000000,28.0,0,-2.0,HOLD,4 - Mid
4,SWI1,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,149205000,3500000,42.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,132405000,3500000,37.0,0,5.0,BUY-MORE,6 - Mega
5,SCTY1,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,125240000,2000000,62.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,139777000,2460000,56.0,-460000,6.0,BUY-MORE,5 - Large
6,ALSN,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,17839000,595831,29.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2013-12-31,16451000,595831,27.0,0,2.0,BUY-MORE,5 - Large
0,CAR,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,596900000,10000000,59.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,487000000,10000000,48.0,0,11.0,BUY-MORE,5 - Large
1,HTZ,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,462495000,16500000,28.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,213120000,8000000,26.0,8500000,2.0,SELL-PARTIAL,6 - Mega
2,QIHU,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,413213000,4489493,92.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,447064000,4489493,99.0,0,-7.0,HOLD,5 - Large
3,FB,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,336450000,5000000,67.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,301200000,5000000,60.0,0,7.0,HOLD,4 - Mid
4,SCTY1,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,140494000,1989996,70.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,125240000,2000000,62.0,-10004,8.0,BUY-MORE,6 - Mega
5,SWI1,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,135310000,3500000,38.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,149205000,3500000,42.0,0,-4.0,BUY-MORE,5 - Large
6,SUNE,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,101700000,4500000,22.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,108330000,5750000,18.0,-1250000,4.0,BUY-MORE,5 - Large
7,DDD,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,29900000,500000,59.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,29575000,500000,59.0,0,0.0,SELL-PARTIAL,6 - Mega
8,ALSN,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,18530000,595831,31.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-03-31,17839000,595831,29.0,0,2.0,SELL-PARTIAL,5 - Large
0,CAR,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,548900000,10000000,54.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,596900000,10000000,59.0,0,-5.0,BUY-MORE,5 - Large
1,HTZ,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,507800000,20000000,25.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,462495000,16500000,28.0,3500000,-3.0,SELL-PARTIAL,6 - Mega
2,FB,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,395200000,5000000,79.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,336450000,5000000,67.0,0,12.0,HOLD,5 - Large
3,SCTY1,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,387400000,6500000,59.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,140494000,1989996,70.0,4510004,-11.0,HOLD,4 - Mid
4,QIHU,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,201701000,2989493,67.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,413213000,4489493,92.0,-1500000,-25.0,BUY-MORE,6 - Mega
5,SWI1,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,140765000,3347564,42.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,135310000,3500000,38.0,-152436,4.0,BUY-MORE,5 - Large
6,SUNE,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,113280000,6000000,18.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,101700000,4500000,22.0,1500000,-4.0,BUY-MORE,5 - Large
7,RH,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,79550000,1000000,79.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,93050000,1000000,93.0,0,-14.0,SELL-PARTIAL,6 - Mega
8,DATA,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,72650000,1000000,72.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,49218000,690000,71.0,310000,1.0,SELL-PARTIAL,5 - Large
9,ALSN,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,16975000,595831,28.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,18530000,595831,31.0,0,-3.0,HOLD,5 - Large
10,DDD,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,7099000,153094,46.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,29900000,500000,59.0,-346906,-13.0,HOLD,5 - Large
11,TOUR,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,3613000,210681,17.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-06-30,8815000,500000,17.0,-289319,0.0,BUY-MORE,5 - Large
0,CAR,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,663300000,10000000,66.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,548900000,10000000,54.0,0,12.0,BUY-MORE,5 - Large
1,SCTY1,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,427840000,8000000,53.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,387400000,6500000,59.0,1500000,-6.0,SELL-PARTIAL,6 - Mega
2,FB,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,390100000,5000000,78.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,395200000,5000000,79.0,0,-1.0,HOLD,5 - Large
3,HTZ,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,374100000,15000000,24.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,507800000,20000000,25.0,-5000000,-1.0,HOLD,4 - Mid
4,QIHU,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,171178000,2989493,57.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,201701000,2989493,67.0,0,-10.0,BUY-MORE,6 - Mega
5,SWI1,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,149490000,3000000,49.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,140765000,3347564,42.0,-347564,7.0,BUY-MORE,5 - Large
6,SUNE,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,117060000,6000000,19.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,113280000,6000000,18.0,0,1.0,BUY-MORE,5 - Large
7,RH,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,96010000,1000000,96.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,79550000,1000000,79.0,0,17.0,SELL-PARTIAL,6 - Mega
8,DATA,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,84760000,1000000,84.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,72650000,1000000,72.0,0,12.0,SELL-PARTIAL,5 - Large
9,TRUE,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,45800000,2000000,22.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,808000,45000,17.0,1955000,5.0,HOLD,5 - Large
10,ALSN,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,20199000,595831,33.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,16975000,595831,28.0,0,5.0,HOLD,5 - Large
11,TERP,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,6176000,200000,30.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,5772000,200000,28.0,0,2.0,BUY-MORE,5 - Large
12,DDD,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,5032000,153094,32.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-09-30,7099000,153094,46.0,0,-14.0,HOLD,5 - Large
0,CAR,SRS INVESTMENT MANAGEMENT LLC,SHR,2015-03-31,590150000,10000000,59.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,663300000,10000000,66.0,0,-7.0,BUY-MORE,5 - Large
1,SCTY1,SRS INVESTMENT MANAGEMENT LLC,SHR,2015-03-31,410240000,8000000,51.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,427840000,8000000,53.0,0,-2.0,SELL-PARTIAL,6 - Mega
2,NFLX,SRS INVESTMENT MANAGEMENT LLC,SHR,2015-03-31,312518000,750000,416.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,51242000,150000,341.0,600000,75.0,HOLD,5 - Large
3,SUNE,SRS INVESTMENT MANAGEMENT LLC,SHR,2015-03-31,161160000,6714986,24.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,117060000,6000000,19.0,714986,5.0,HOLD,4 - Mid
4,HTZ,SRS INVESTMENT MANAGEMENT LLC,SHR,2015-03-31,128804000,5941166,21.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,374100000,15000000,24.0,-9058834,-3.0,BUY-MORE,6 - Mega
5,FEYE,SRS INVESTMENT MANAGEMENT LLC,SHR,2015-03-31,127563000,3250000,39.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,94740000,3000000,31.0,250000,8.0,BUY-MORE,5 - Large
6,SWI1,SRS INVESTMENT MANAGEMENT LLC,SHR,2015-03-31,122976000,2400000,51.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,149490000,3000000,49.0,-600000,2.0,BUY-MORE,5 - Large
7,FB,SRS INVESTMENT MANAGEMENT LLC,SHR,2015-03-31,102769000,1250000,82.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,390100000,5000000,78.0,-3750000,4.0,SELL-PARTIAL,6 - Mega
8,RH,SRS INVESTMENT MANAGEMENT LLC,SHR,2015-03-31,99190000,1000000,99.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,96010000,1000000,96.0,0,3.0,SELL-PARTIAL,5 - Large
9,DATA,SRS INVESTMENT MANAGEMENT LLC,SHR,2015-03-31,98534000,1065000,92.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,84760000,1000000,84.0,65000,8.0,HOLD,5 - Large
10,ADSK,SRS INVESTMENT MANAGEMENT LLC,SHR,2015-03-31,58640000,1000000,58.0,SRS INVESTMENT MANAGEMENT LLC,SHR,2014-12-31,6006000,100000,60.0,900000,-2.0,HOLD,5 - Large
