,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CHTRQ,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,284917000,2114252,134.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,267714000,2161596,123.0,-47344,11.0,SELL-PARTIAL,5 - Large
1,BHC,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,230369000,2208083,104.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,175023000,2033263,86.0,174820,18.0,SELL-PARTIAL,4 - Mid
2,AIG,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,209726000,4312680,48.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,272417000,6094341,44.0,-1781661,4.0,BUY-MORE,5 - Large
3,HES,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,193252000,2498738,77.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,188426000,2833901,66.0,-335163,11.0,SELL-PARTIAL,5 - Large
4,CBI,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,172007000,2538105,67.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,174676000,2927866,59.0,-389761,8.0,BUY-MORE,5 - Large
5,BKNG,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,162735000,160972,1010.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,88348000,106872,826.0,54100,184.0,BUY-MORE,5 - Large
6,C,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,151246000,3117838,48.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,172972000,3605834,47.0,-487996,1.0,BUY-MORE,5 - Large
7,FLT,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,144212000,1309117,110.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,132652000,1631639,81.0,-322522,29.0,SELL-PARTIAL,6 - Mega
8,LNG,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,138783000,4065123,34.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,65584000,2362526,27.0,1702597,7.0,BUY-MORE,5 - Large
9,V,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,123897000,648335,191.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,111178000,608363,182.0,39972,9.0,SELL-PARTIAL,5 - Large
10,HAL,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,120602000,2504723,48.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,139843000,3351946,41.0,-847223,7.0,BUY-MORE,6 - Mega
11,PXD,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,92348000,489134,188.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,81075000,560106,144.0,-70972,44.0,SELL-PARTIAL,5 - Large
12,PVH,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,89749000,756166,118.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,111334000,890317,125.0,-134151,-7.0,SELL-PARTIAL,4 - Mid
13,MDLZ,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,86088000,2739835,31.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,79463000,2785235,28.0,-45400,3.0,SELL-PARTIAL,5 - Large
14,CHKP,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,82650000,1461281,56.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,81542000,1641336,49.0,-180055,7.0,SELL-PARTIAL,5 - Large
15,YELP,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-09-30,74492000,1125594,66.0,STEADFAST CAPITAL MANAGEMENT LP,SHR,2013-06-30,65667000,1888598,34.0,-763004,32.0,SELL-PARTIAL,
