,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,TDG,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,144974000,1045233,138.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,163861000,1045233,156.0,0,-18.0,HOLD,5 - Large
1,LPLA,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,115412000,3012575,38.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,114022000,3019651,37.0,-7076,1.0,BUY-MORE,6 - Mega
2,MSCI,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,114195000,2836426,40.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,94640000,2844595,33.0,-8169,7.0,BUY-MORE,5 - Large
3,MSI,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,107985000,1818541,59.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,92679000,1605394,57.0,213147,2.0,BUY-MORE,5 - Large
4,ST,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,105593000,2759168,38.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,96660000,2769631,34.0,-10463,4.0,BUY-MORE,4 - Mid
5,WBC,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,92964000,1103302,84.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,89234000,1194723,74.0,-91421,10.0,BUY-MORE,4 - Mid
6,V,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,92406000,483549,191.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,103152000,564445,182.0,-80896,9.0,BUY-MORE,4 - Mid
7,MFRM,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,86654000,2724966,31.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,88418000,2193999,40.0,530967,-9.0,SELL-PARTIAL,5 - Large
8,DG,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,82294000,1457556,56.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,73714000,1461714,50.0,-4158,6.0,SELL-PARTIAL,6 - Mega
9,XYL,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,81836000,2930042,27.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,67688000,2512533,26.0,417509,1.0,SELL-PARTIAL,5 - Large
10,SBAC,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,48061000,597329,80.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,29855000,402790,74.0,194539,6.0,HOLD,3 - Small
11,CCI,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,46791000,640712,73.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-06-30,24937000,344478,72.0,296234,1.0,BUY-MORE,4 - Mid
0,TDG,STOCKBRIDGE PARTNERS LLC,SHR,2013-12-31,168303000,1045233,161.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,144974000,1045233,138.0,0,23.0,HOLD,5 - Large
1,LPLA,STOCKBRIDGE PARTNERS LLC,SHR,2013-12-31,141681000,3012575,47.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,115412000,3012575,38.0,0,9.0,BUY-MORE,6 - Mega
2,MFRM,STOCKBRIDGE PARTNERS LLC,SHR,2013-12-31,118284000,2748225,43.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,86654000,2724966,31.0,23259,12.0,BUY-MORE,5 - Large
3,MSCI,STOCKBRIDGE PARTNERS LLC,SHR,2013-12-31,111435000,2548841,43.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,114195000,2836426,40.0,-287585,3.0,BUY-MORE,5 - Large
4,V,STOCKBRIDGE PARTNERS LLC,SHR,2013-12-31,107677000,483549,222.0,STOCKBRIDGE PARTNERS LLC,SHR,2013-09-30,92406000,483549,191.0,0,31.0,BUY-MORE,4 - Mid
