,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,LNG,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,60165000,1087000,55.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,47777000,1108000,43.0,-21000,12.0,SELL-PARTIAL,5 - Large
1,TWX,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,55648000,851800,65.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,29756000,426800,69.0,425000,-4.0,SELL-PARTIAL,5 - Large
2,AGN,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,52409000,254600,205.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,18043000,107400,167.0,147200,38.0,SELL-PARTIAL,5 - Large
3,IHS,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,49013000,403400,121.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,21307000,178000,119.0,225400,2.0,SELL-PARTIAL,5 - Large
4,STZ,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,47617000,560400,84.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,33747000,479500,70.0,80900,14.0,SELL-PARTIAL,5 - Large
5,DLTR,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,40330000,772900,52.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,23871000,423100,56.0,349800,-4.0,SELL-PARTIAL,5 - Large
6,EQIX,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,38742000,209600,184.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,38063000,214500,177.0,-4900,7.0,SELL-PARTIAL,5 - Large
7,EQIX,SUVRETTA CAPITAL MANAGEMENT LLC,CLL,2014-03-31,7856000,42500,184.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,38063000,214500,177.0,-172000,7.0,SELL-PARTIAL,5 - Large
8,MTCH,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,37965000,531800,71.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,8801000,128200,68.0,403600,3.0,BUY-MORE,5 - Large
9,EBAY,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,33481000,606100,55.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,19686000,358800,54.0,247300,1.0,HOLD,3 - Small
10,ENDP,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,33076000,481800,68.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,21547000,319400,67.0,162400,1.0,SELL-PARTIAL,5 - Large
11,UNP,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,30119000,160500,187.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,10584000,63000,168.0,97500,19.0,BUY-MORE,5 - Large
12,TMO,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,30000000,249500,120.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,35855000,322000,111.0,-72500,9.0,SELL-PARTIAL,5 - Large
13,ADBE,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,25448000,387100,65.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,20958000,350000,59.0,37100,6.0,BUY-MORE,4 - Mid
14,DG,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,25327000,456500,55.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,24942000,413500,60.0,43000,-5.0,HOLD,3 - Small
15,CPRI,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,25127000,269400,93.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,28636000,352700,81.0,-83300,12.0,SELL-PARTIAL,5 - Large
16,BKW,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,24121000,908500,26.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,23603000,1032500,22.0,-124000,4.0,SELL-PARTIAL,4 - Mid
17,SEMG,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,19211000,292500,65.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,9667000,148200,65.0,144300,0.0,BUY-MORE,5 - Large
18,TK,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,18205000,323700,56.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,15541000,323700,48.0,0,8.0,BUY-MORE,6 - Mega
19,HCA,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,17325000,330000,52.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,26369000,552700,47.0,-222700,5.0,BUY-MORE,5 - Large
20,MYL,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,14986000,306900,48.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,10364000,238800,43.0,68100,5.0,BUY-MORE,4 - Mid
21,AGN1,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,14830000,119500,124.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,14218000,128000,111.0,-8500,13.0,BUY-MORE,4 - Mid
22,SBGI,SUVRETTA CAPITAL MANAGEMENT LLC,CLL,2014-03-31,2010000,74200,27.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2013-12-31,27155000,760000,35.0,-685800,-8.0,SELL-PARTIAL,5 - Large
0,LNG,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,81336000,1134400,71.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,60165000,1087000,55.0,47400,16.0,SELL-PARTIAL,5 - Large
1,APD,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,66355000,515900,128.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,39914000,335300,119.0,180600,9.0,SELL-PARTIAL,5 - Large
2,AGN,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,64105000,287400,223.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,52409000,254600,205.0,32800,18.0,SELL-PARTIAL,5 - Large
3,IHS,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,53386000,393500,135.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,49013000,403400,121.0,-9900,14.0,SELL-PARTIAL,5 - Large
4,CPRI,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,46311000,522400,88.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,25127000,269400,93.0,253000,-5.0,SELL-PARTIAL,5 - Large
5,AGN1,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,42982000,254000,169.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,14830000,119500,124.0,134500,45.0,SELL-PARTIAL,5 - Large
6,ENDP,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,39176000,559500,70.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,33076000,481800,68.0,77700,2.0,SELL-PARTIAL,5 - Large
7,TWX,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,38792000,552200,70.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,55648000,851800,65.0,-299600,5.0,SELL-PARTIAL,5 - Large
8,DLTR,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,38634000,709400,54.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,40330000,772900,52.0,-63500,2.0,BUY-MORE,5 - Large
9,HCA,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,33918000,601600,56.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,17325000,330000,52.0,271600,4.0,HOLD,3 - Small
10,SEMG,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,28938000,367000,78.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,19211000,292500,65.0,74500,13.0,SELL-PARTIAL,5 - Large
11,BKW,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,28853000,1060000,27.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,24121000,908500,26.0,151500,1.0,BUY-MORE,5 - Large
12,STZ,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,28819000,327000,88.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,47617000,560400,84.0,-233400,4.0,SELL-PARTIAL,5 - Large
13,TMO,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,27565000,233600,118.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,30000000,249500,120.0,-15900,-2.0,BUY-MORE,4 - Mid
14,ADBE,SUVRETTA CAPITAL MANAGEMENT LLC,CLL,2014-06-30,16643000,230000,72.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,25448000,387100,65.0,-157100,7.0,HOLD,3 - Small
15,ADBE,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-06-30,2866000,39601,72.0,SUVRETTA CAPITAL MANAGEMENT LLC,SHR,2014-03-31,25448000,387100,65.0,-347499,7.0,SELL-PARTIAL,5 - Large
