,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GM,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,427503000,11885000,35.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,347590000,10435000,33.0,1450000,2.0,BUY-MORE,5 - Large
1,GM,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,427503000,11885000,35.0,TACONIC CAPITAL ADVISORS LP,WNT,2013-06-30,23026000,1198178,19.0,10686822,16.0,SELL-PARTIAL,5 - Large
2,GM,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,427503000,11885000,35.0,TACONIC CAPITAL ADVISORS LP,CLL,2013-06-30,8100000,2000000,4.0,9885000,31.0,BUY-MORE,6 - Mega
3,GM,TACONIC CAPITAL ADVISORS LP,WNT,2013-09-30,25798000,1198178,21.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,347590000,10435000,33.0,-9236822,-12.0,HOLD,6 - Mega
4,GM,TACONIC CAPITAL ADVISORS LP,WNT,2013-09-30,25798000,1198178,21.0,TACONIC CAPITAL ADVISORS LP,WNT,2013-06-30,23026000,1198178,19.0,0,2.0,BUY-MORE,6 - Mega
5,GM,TACONIC CAPITAL ADVISORS LP,WNT,2013-09-30,25798000,1198178,21.0,TACONIC CAPITAL ADVISORS LP,CLL,2013-06-30,8100000,2000000,4.0,-801822,17.0,BUY-MORE,4 - Mid
6,ASH,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,249696000,2700000,92.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,225450000,2700000,83.0,0,9.0,BUY-MORE,4 - Mid
7,WPX,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,246528000,12800000,19.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,242432000,12800000,18.0,0,1.0,BUY-MORE,5 - Large
8,NE,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,118976000,3150000,37.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,111237000,2960000,37.0,190000,0.0,SELL-PARTIAL,5 - Large
9,NYX,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,109148000,2600000,41.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,107640000,2600000,41.0,0,0.0,SELL-PARTIAL,5 - Large
10,LIFE2,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,56123000,750000,74.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,55508000,750000,74.0,0,0.0,BUY-MORE,5 - Large
11,PENN,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,53976000,975000,55.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,67132000,1270000,52.0,-295000,3.0,SELL-PARTIAL,5 - Large
12,LBTYA,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,41780000,550000,75.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,43360000,625000,69.0,-75000,6.0,BUY-MORE,5 - Large
13,MSFT,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,41638000,1250000,33.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,39710000,1150000,34.0,100000,-1.0,BUY-MORE,4 - Mid
14,MSFT,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,41638000,1250000,33.0,TACONIC CAPITAL ADVISORS LP,CLL,2013-06-30,2174000,1150000,1.0,100000,32.0,BUY-MORE,4 - Mid
15,MSFT,TACONIC CAPITAL ADVISORS LP,CLL,2013-09-30,1828000,2150000,0.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,39710000,1150000,34.0,1000000,-34.0,BUY-MORE,4 - Mid
16,MSFT,TACONIC CAPITAL ADVISORS LP,CLL,2013-09-30,1828000,2150000,0.0,TACONIC CAPITAL ADVISORS LP,CLL,2013-06-30,2174000,1150000,1.0,1000000,-1.0,BUY-MORE,5 - Large
17,AGO,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,41531000,2215000,18.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,54157000,2455000,22.0,-240000,-4.0,BUY-MORE,5 - Large
18,AGO,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,41531000,2215000,18.0,TACONIC CAPITAL ADVISORS LP,CLL,2013-06-30,808000,500000,1.0,1715000,17.0,HOLD,5 - Large
19,AGO,TACONIC CAPITAL ADVISORS LP,CLL,2013-09-30,411000,1100000,0.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,54157000,2455000,22.0,-1355000,-22.0,HOLD,5 - Large
20,AGO,TACONIC CAPITAL ADVISORS LP,CLL,2013-09-30,411000,1100000,0.0,TACONIC CAPITAL ADVISORS LP,CLL,2013-06-30,808000,500000,1.0,600000,-1.0,BUY-MORE,5 - Large
21,AAP,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,41340000,500000,82.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,17046000,210000,81.0,290000,1.0,SELL-PARTIAL,5 - Large
22,CF,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,41112000,195000,210.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,33443000,195000,171.0,0,39.0,BUY-MORE,5 - Large
23,DIN,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,37950000,550000,69.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,25826000,375000,68.0,175000,1.0,BUY-MORE,5 - Large
24,NBHC,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,36066000,1755875,20.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,37923000,1925000,19.0,-169125,1.0,HOLD,5 - Large
25,TMO,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,34556000,375000,92.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,31736000,375000,84.0,0,8.0,HOLD,5 - Large
26,THI,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,34203000,590000,57.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,37906000,700000,54.0,-110000,3.0,BUY-MORE,4 - Mid
27,STWD,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,33182000,1384300,23.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,33289000,1345000,24.0,39300,-1.0,SELL-PARTIAL,5 - Large
28,ADT1,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,28462000,700000,40.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,15940000,400000,39.0,300000,1.0,BUY-MORE,5 - Large
29,BRCD,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,25760000,3200000,8.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,20448000,3550000,5.0,-350000,3.0,SELL-PARTIAL,4 - Mid
30,MFA,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,25330000,3400000,7.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,15210000,1800000,8.0,1600000,-1.0,SELL-PARTIAL,5 - Large
31,BWXT,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,22761000,675000,33.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,20270000,675000,30.0,0,3.0,SELL-PARTIAL,3 - Small
32,HDS,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,21970000,1000000,21.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,6107000,325000,18.0,675000,3.0,SELL-PARTIAL,5 - Large
33,EMC,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,21087000,825000,25.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,19487000,825000,23.0,0,2.0,HOLD,4 - Mid
34,MNST,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,20900000,400000,52.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,24332000,400000,60.0,0,-8.0,HOLD,5 - Large
35,NVDA,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,18672000,1200000,15.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,19642000,1400000,14.0,-200000,1.0,HOLD,4 - Mid
36,CNW,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,18313000,425000,43.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,17532000,450000,38.0,-25000,5.0,BUY-MORE,4 - Mid
37,MNK,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,16534000,375000,44.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,6815000,150000,45.0,225000,-1.0,HOLD,5 - Large
38,DFODQ,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,13510000,700000,19.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,15531000,1550000,10.0,-850000,9.0,BUY-MORE,4 - Mid
39,CIT,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,11705000,240000,48.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,49195000,1055000,46.0,-815000,2.0,HOLD,5 - Large
40,CIT,TACONIC CAPITAL ADVISORS LP,CLL,2013-09-30,246000,300000,0.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,49195000,1055000,46.0,-755000,-46.0,SELL-PARTIAL,4 - Mid
41,FOSL,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,11624000,100000,116.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,10331000,100000,103.0,0,13.0,HOLD,5 - Large
42,UAL,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,9213000,300000,30.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,9387000,300000,31.0,0,-1.0,HOLD,2 - Micro
43,HWM,TACONIC CAPITAL ADVISORS LP,DBT,2013-09-30,8766000,6800000,1.0,TACONIC CAPITAL ADVISORS LP,DBT,2013-06-30,8649000,6800000,1.0,0,0.0,HOLD,5 - Large
44,CBF,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,6772000,308500,21.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,12154000,640000,18.0,-331500,3.0,BUY-MORE,5 - Large
45,KRNY,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,5110000,500000,10.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,9441000,900000,10.0,-400000,0.0,SELL-PARTIAL,5 - Large
46,PGNX,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,3953000,785982,5.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,3505000,785982,4.0,0,1.0,SELL-PARTIAL,5 - Large
47,DAL,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,3539000,150000,23.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,9355000,500000,18.0,-350000,5.0,BUY-MORE,6 - Mega
48,DAL,TACONIC CAPITAL ADVISORS LP,CLL,2013-09-30,359000,200000,1.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,9355000,500000,18.0,-300000,-17.0,BUY-MORE,6 - Mega
49,MT,TACONIC CAPITAL ADVISORS LP,DBT,2013-09-30,3450000,160000,21.0,TACONIC CAPITAL ADVISORS LP,DBT,2013-06-30,3068000,160000,19.0,0,2.0,SELL-PARTIAL,5 - Large
50,MDLZ,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,3142000,100000,31.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-06-30,17118000,600000,28.0,-500000,3.0,BUY-MORE,5 - Large
51,LCC,TACONIC CAPITAL ADVISORS LP,CLL,2013-09-30,2055000,1000000,2.0,TACONIC CAPITAL ADVISORS LP,CLL,2013-06-30,1472000,1800000,0.0,-800000,2.0,HOLD,5 - Large
52,SPY,TACONIC CAPITAL ADVISORS LP,PUT,2013-09-30,1108000,1100000,1.0,TACONIC CAPITAL ADVISORS LP,PUT,2013-06-30,7558000,3800000,1.0,-2700000,0.0,HOLD,3 - Small
53,SPY,TACONIC CAPITAL ADVISORS LP,CLL,2013-09-30,570000,2860000,0.0,TACONIC CAPITAL ADVISORS LP,PUT,2013-06-30,7558000,3800000,1.0,-940000,-1.0,BUY-MORE,5 - Large
54,X,TACONIC CAPITAL ADVISORS LP,PUT,2013-09-30,129000,400000,0.0,TACONIC CAPITAL ADVISORS LP,PUT,2013-06-30,553000,400000,1.0,0,-1.0,HOLD,4 - Mid
55,CPN,TACONIC CAPITAL ADVISORS LP,CLL,2013-09-30,107000,1074700,0.0,TACONIC CAPITAL ADVISORS LP,CLL,2013-06-30,672000,1074700,0.0,0,0.0,SELL-PARTIAL,6 - Mega
0,GM,TACONIC CAPITAL ADVISORS LP,SHR,2013-12-31,472507000,11561229,40.0,TACONIC CAPITAL ADVISORS LP,SHR,2013-09-30,427503000,11885000,35.0,-323771,5.0,BUY-MORE,5 - Large
