,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-09-30,581643000,1881060,309.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-06-30,397073000,1881060,211.0,0,98.0,HOLD,5 - Large
1,EA,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-09-30,188729000,7386671,25.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-06-30,169820000,7386671,22.0,0,3.0,HOLD,
2,AWAY1,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-09-30,163037000,5831077,27.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-06-30,188577000,5831077,32.0,0,-5.0,HOLD,4 - Mid
3,LRN,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-09-30,123520000,4000000,30.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-06-30,105080000,4000000,26.0,0,4.0,HOLD,5 - Large
4,FB,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-09-30,40552000,807329,50.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-06-30,20086000,807329,24.0,0,26.0,HOLD,3 - Small
0,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-12-31,554118000,1505060,368.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-09-30,581643000,1881060,309.0,-376000,59.0,HOLD,5 - Large
1,FB,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-12-31,545127000,9974870,54.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-09-30,40552000,807329,50.0,9167541,4.0,HOLD,
2,AWAY1,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-12-31,238374000,5831077,40.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-09-30,163037000,5831077,27.0,0,13.0,HOLD,4 - Mid
3,EA,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-12-31,169450000,7386671,22.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-09-30,188729000,7386671,25.0,0,-3.0,HOLD,5 - Large
4,LRN,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-12-31,87000000,4000000,21.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-09-30,123520000,4000000,30.0,0,-9.0,HOLD,3 - Small
0,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-03-31,529826000,1505060,352.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-12-31,554118000,1505060,368.0,0,-16.0,HOLD,5 - Large
1,FB,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-03-31,316052000,5246543,60.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-12-31,545127000,9974870,54.0,-4728327,6.0,HOLD,
2,EA,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-03-31,186811000,6439525,29.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-12-31,169450000,7386671,22.0,-947146,7.0,HOLD,4 - Mid
3,AWAY1,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-03-31,138935000,3688220,37.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-12-31,238374000,5831077,40.0,-2142857,-3.0,HOLD,5 - Large
4,LRN,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-03-31,90600000,4000000,22.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2013-12-31,87000000,4000000,21.0,0,1.0,HOLD,3 - Small
0,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-06-30,663129000,1505060,440.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-03-31,529826000,1505060,352.0,0,88.0,HOLD,5 - Large
1,FB,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-06-30,353040000,5246543,67.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-03-31,316052000,5246543,60.0,0,7.0,HOLD,
2,EA,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-06-30,230986000,6439525,35.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-03-31,186811000,6439525,29.0,0,6.0,HOLD,4 - Mid
3,AWAY1,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-06-30,128424000,3688220,34.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-03-31,138935000,3688220,37.0,0,-3.0,HOLD,5 - Large
4,LRN,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-06-30,96280000,4000000,24.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-03-31,90600000,4000000,22.0,0,2.0,HOLD,3 - Small
0,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-09-30,679053000,1505060,451.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-06-30,663129000,1505060,440.0,0,11.0,HOLD,5 - Large
1,FB,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-09-30,512136000,6479448,79.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-06-30,353040000,5246543,67.0,1232905,12.0,HOLD,
2,EA,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-09-30,229311000,6439525,35.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-06-30,230986000,6439525,35.0,0,0.0,HOLD,4 - Mid
3,LRN,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-09-30,63840000,4000000,15.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-06-30,96280000,4000000,24.0,0,-9.0,HOLD,5 - Large
0,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-12-31,514144000,1505060,341.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-09-30,679053000,1505060,451.0,0,-110.0,HOLD,5 - Large
1,FB,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-12-31,333102000,4269448,78.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-09-30,512136000,6479448,79.0,-2210000,-1.0,HOLD,
2,EA,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-12-31,302786000,6439525,47.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-09-30,229311000,6439525,35.0,0,12.0,HOLD,4 - Mid
3,LRN,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-12-31,47480000,4000000,11.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-09-30,63840000,4000000,15.0,0,-4.0,HOLD,5 - Large
0,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2015-03-31,502136000,1205060,416.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-12-31,514144000,1505060,341.0,-300000,75.0,HOLD,5 - Large
1,EA,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2015-03-31,378773000,6439525,58.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-12-31,302786000,6439525,47.0,0,11.0,HOLD,
2,FB,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2015-03-31,326368000,3969448,82.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-12-31,333102000,4269448,78.0,-300000,4.0,HOLD,4 - Mid
3,LRN,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2015-03-31,62880000,4000000,15.0,TECHNOLOGY CROSSOVER MANAGEMENT VII LTD,SHR,2014-12-31,47480000,4000000,11.0,0,4.0,HOLD,5 - Large
