,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GILD,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-09-30,94556000,1504712,62.0,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-06-30,77056000,1504712,51.0,0,11.0,BUY-MORE,6 - Mega
1,REGN,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-09-30,81565000,260699,312.0,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-06-30,62912000,279759,224.0,-19060,88.0,HOLD,5 - Large
2,CELG,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-09-30,78511000,510046,153.0,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-06-30,59629000,510046,116.0,0,37.0,BUY-MORE,5 - Large
3,BIIB,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-09-30,46222000,191983,240.0,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-06-30,41315000,191983,215.0,0,25.0,SELL-PARTIAL,5 - Large
4,AMGN,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-09-30,46135000,412143,111.0,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-06-30,19746000,200143,98.0,212000,13.0,BUY-MORE,6 - Mega
5,ALXN,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-09-30,43134000,371329,116.0,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-06-30,34251000,371329,92.0,0,24.0,BUY-MORE,5 - Large
6,VRTX,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-09-30,37892000,499764,75.0,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-06-30,36274000,454164,79.0,45600,-4.0,BUY-MORE,5 - Large
7,PRGO,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-09-30,24998000,202607,123.0,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-06-30,24515000,202607,120.0,0,3.0,BUY-MORE,5 - Large
8,PBYI,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-09-30,24620000,458816,53.0,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-06-30,31583000,711800,44.0,-252984,9.0,BUY-MORE,6 - Mega
9,MYL,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-09-30,18635000,488209,38.0,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-06-30,15149000,488209,31.0,0,7.0,BUY-MORE,6 - Mega
10,SHPG,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-09-30,18481000,154153,119.0,TEKLA CAPITAL MANAGEMENT LLC,SHR,2013-06-30,14661000,154153,95.0,0,24.0,SELL-PARTIAL,5 - Large
