,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,PPG,THOMASPARTNERS INC,SHR,2013-09-30,61365000,367322,167.0,THOMASPARTNERS INC,SHR,2013-06-30,53837000,333704,161.0,33618,6.0,SELL-PARTIAL,6 - Mega
1,GPC,THOMASPARTNERS INC,SHR,2013-09-30,57556000,711535,80.0,THOMASPARTNERS INC,SHR,2013-06-30,55161000,640413,86.0,71122,-6.0,BUY-MORE,6 - Mega
2,EMR,THOMASPARTNERS INC,SHR,2013-09-30,56076000,866703,64.0,THOMASPARTNERS INC,SHR,2013-06-30,45344000,750371,60.0,116332,4.0,BUY-MORE,6 - Mega
3,JNJ,THOMASPARTNERS INC,SHR,2013-09-30,55169000,636394,86.0,THOMASPARTNERS INC,SHR,2013-06-30,53149000,558978,95.0,77416,-9.0,SELL-PARTIAL,5 - Large
4,LMT,THOMASPARTNERS INC,SHR,2013-09-30,53845000,422149,127.0,THOMASPARTNERS INC,SHR,2013-06-30,44079000,358603,122.0,63546,5.0,SELL-PARTIAL,5 - Large
5,DEO,THOMASPARTNERS INC,SHR,2013-09-30,53362000,419906,127.0,THOMASPARTNERS INC,SHR,2013-06-30,45512000,362272,125.0,57634,2.0,BUY-MORE,6 - Mega
6,RTX,THOMASPARTNERS INC,SHR,2013-09-30,53331000,494634,107.0,THOMASPARTNERS INC,SHR,2013-06-30,44273000,427895,103.0,66739,4.0,BUY-MORE,6 - Mega
7,IBM,THOMASPARTNERS INC,SHR,2013-09-30,52177000,281762,185.0,THOMASPARTNERS INC,SHR,2013-06-30,49043000,235451,208.0,46311,-23.0,BUY-MORE,5 - Large
8,CB1,THOMASPARTNERS INC,SHR,2013-09-30,52087000,583543,89.0,THOMASPARTNERS INC,SHR,2013-06-30,47258000,504399,93.0,79144,-4.0,BUY-MORE,6 - Mega
9,GD,THOMASPARTNERS INC,SHR,2013-09-30,52018000,594351,87.0,THOMASPARTNERS INC,SHR,2013-06-30,44931000,514441,87.0,79910,0.0,BUY-MORE,6 - Mega
10,LOW,THOMASPARTNERS INC,SHR,2013-09-30,51963000,1091433,47.0,THOMASPARTNERS INC,SHR,2013-06-30,42699000,927661,46.0,163772,1.0,BUY-MORE,6 - Mega
11,MSFT,THOMASPARTNERS INC,SHR,2013-09-30,51735000,1554525,33.0,THOMASPARTNERS INC,SHR,2013-06-30,50939000,1323653,38.0,230872,-5.0,BUY-MORE,5 - Large
12,WFC,THOMASPARTNERS INC,SHR,2013-09-30,50509000,1222377,41.0,THOMASPARTNERS INC,SHR,2013-06-30,48658000,1055200,46.0,167177,-5.0,BUY-MORE,6 - Mega
13,WBA,THOMASPARTNERS INC,SHR,2013-09-30,50419000,937158,53.0,THOMASPARTNERS INC,SHR,2013-06-30,39794000,796423,49.0,140735,4.0,BUY-MORE,6 - Mega
14,NVS,THOMASPARTNERS INC,SHR,2013-09-30,49918000,650736,76.0,THOMASPARTNERS INC,SHR,2013-06-30,43308000,548055,79.0,102681,-3.0,BUY-MORE,6 - Mega
15,ITW,THOMASPARTNERS INC,SHR,2013-09-30,49873000,653906,76.0,THOMASPARTNERS INC,SHR,2013-06-30,43421000,559047,77.0,94859,-1.0,SELL-PARTIAL,6 - Mega
16,CVX,THOMASPARTNERS INC,SHR,2013-09-30,49838000,410191,121.0,THOMASPARTNERS INC,SHR,2013-06-30,46453000,354651,130.0,55540,-9.0,BUY-MORE,5 - Large
17,OMC,THOMASPARTNERS INC,SHR,2013-09-30,49806000,785087,63.0,THOMASPARTNERS INC,SHR,2013-06-30,46256000,659790,70.0,125297,-7.0,SELL-PARTIAL,6 - Mega
