,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,DG,TOBAM,SHR,2013-09-30,64680000,1145608,56.0,TOBAM,SHR,2013-06-30,56827000,1126860,50.0,18748,6.0,SELL-PARTIAL,5 - Large
1,KSS,TOBAM,SHR,2013-09-30,64493000,1246266,51.0,TOBAM,SHR,2013-06-30,39855000,789055,50.0,457211,1.0,SELL-PARTIAL,5 - Large
2,CTL,TOBAM,SHR,2013-09-30,64363000,2051043,31.0,TOBAM,SHR,2013-06-30,54349000,1537432,35.0,513611,-4.0,SELL-PARTIAL,5 - Large
3,HUM,TOBAM,SHR,2013-09-30,61878000,663008,93.0,TOBAM,SHR,2013-06-30,54193000,642255,84.0,20753,9.0,BUY-MORE,5 - Large
4,ISRG,TOBAM,SHR,2013-09-30,59351000,157732,376.0,TOBAM,SHR,2013-06-30,4222000,8334,506.0,149398,-130.0,BUY-MORE,5 - Large
5,SWY,TOBAM,SHR,2013-09-30,57953000,1811630,31.0,TOBAM,SHR,2013-06-30,43512000,1839069,23.0,-27439,8.0,BUY-MORE,5 - Large
6,EXC,TOBAM,SHR,2013-09-30,56266000,1898286,29.0,TOBAM,SHR,2013-06-30,55280000,1790168,30.0,108118,-1.0,BUY-MORE,5 - Large
7,TMUS,TOBAM,SHR,2013-09-30,55757000,2146982,25.0,TOBAM,SHR,2013-06-30,32160000,1296266,24.0,850716,1.0,BUY-MORE,5 - Large
8,WU,TOBAM,SHR,2013-09-30,54093000,2898860,18.0,TOBAM,SHR,2013-06-30,45300000,2647584,17.0,251276,1.0,BUY-MORE,5 - Large
9,TRIP,TOBAM,SHR,2013-09-30,50132000,661021,75.0,TOBAM,SHR,2013-06-30,29099000,478034,60.0,182987,15.0,SELL-PARTIAL,5 - Large
10,EW,TOBAM,SHR,2013-09-30,49131000,705605,69.0,TOBAM,SHR,2013-06-30,38282000,569671,67.0,135934,2.0,BUY-MORE,5 - Large
11,GME,TOBAM,SHR,2013-09-30,49070000,988326,49.0,TOBAM,SHR,2013-06-30,21442000,510172,42.0,478154,7.0,BUY-MORE,5 - Large
12,VRSN,TOBAM,SHR,2013-09-30,46881000,921221,50.0,TOBAM,SHR,2013-06-30,24674000,552485,44.0,368736,6.0,BUY-MORE,6 - Mega
