,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,UNP,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,66186000,426066,155.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,66666000,432111,154.0,-6045,1.0,BUY-MORE,6 - Mega
1,BLK,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,63790000,235717,270.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,61354000,238871,256.0,-3154,14.0,SELL-PARTIAL,5 - Large
2,AMP,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,55043000,604343,91.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,34639000,428284,80.0,176059,11.0,BUY-MORE,6 - Mega
3,COP,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,53408000,768348,69.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,49131000,812071,60.0,-43723,9.0,BUY-MORE,5 - Large
4,MCK,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,52580000,409821,128.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,49831000,435201,114.0,-25380,14.0,BUY-MORE,6 - Mega
5,ROST,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,52418000,720021,72.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,44080000,680151,64.0,39870,8.0,BUY-MORE,5 - Large
6,GS,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,51973000,328506,158.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,22873000,151228,151.0,177278,7.0,BUY-MORE,5 - Large
7,JPM,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,51731000,1000789,51.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,53558000,1014559,52.0,-13770,-1.0,SELL-PARTIAL,5 - Large
8,ORCL,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,50962000,1536407,33.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,49688000,1617991,30.0,-81584,3.0,SELL-PARTIAL,6 - Mega
9,INTC,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,50771000,2215049,22.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,54382000,2244419,24.0,-29370,-2.0,BUY-MORE,5 - Large
10,TWC,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,49437000,442980,111.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,52845000,469815,112.0,-26835,-1.0,BUY-MORE,6 - Mega
11,UNH,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,49241000,687636,71.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,45665000,697388,65.0,-9752,6.0,SELL-PARTIAL,6 - Mega
12,ITW,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,49228000,645439,76.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,47520000,687005,69.0,-41566,7.0,BUY-MORE,5 - Large
13,ESRX,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,47774000,773042,61.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,48358000,783260,61.0,-10218,0.0,BUY-MORE,6 - Mega
14,GE,TODD ASSET MANAGEMENT LLC,SHR,2013-09-30,47212000,1976225,23.0,TODD ASSET MANAGEMENT LLC,SHR,2013-06-30,46429000,2002122,23.0,-25897,0.0,BUY-MORE,5 - Large
