,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,EPD,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-09-30,933237000,15288936,61.0,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-06-30,922219000,14838603,62.0,450333,-1.0,BUY-MORE,3 - Small
1,MMP,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-09-30,916107000,16234405,56.0,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-06-30,847356000,15547811,54.0,686594,2.0,SELL-PARTIAL,5 - Large
2,PAA,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-09-30,883879000,16784644,52.0,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-06-30,867108000,15536790,55.0,1247854,-3.0,SELL-PARTIAL,5 - Large
3,WPZ,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-09-30,714833000,14371927,49.0,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-06-30,708705000,14490338,48.0,-118411,1.0,SELL-PARTIAL,5 - Large
4,ETP,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-09-30,648496000,9759150,66.0,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-06-30,580520000,9077716,63.0,681434,3.0,SELL-PARTIAL,5 - Large
5,BPL,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-09-30,558327000,8520181,65.0,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-06-30,552286000,7871806,70.0,648375,-5.0,BUY-MORE,5 - Large
6,RGP1,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-09-30,505256000,17666283,28.0,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-06-30,456420000,16923249,26.0,743034,2.0,BUY-MORE,5 - Large
7,ET,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-09-30,482015000,7327679,65.0,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-06-30,423485000,7079329,59.0,248350,6.0,BUY-MORE,4 - Mid
8,ETP1,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-09-30,458614000,8807646,52.0,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-06-30,432365000,8554908,50.0,252738,2.0,SELL-PARTIAL,4 - Mid
9,EPB,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-09-30,442714000,10485875,42.0,TORTOISE CAPITAL ADVISORS LLC,SHR,2013-06-30,495358000,11343206,43.0,-857331,-1.0,SELL-PARTIAL,4 - Mid
