,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,FSL,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,3265679000,196136895,16.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,2657655000,196136895,13.0,0,3.0,SELL-PARTIAL,5 - Large
1,IQV,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,1006962000,22436759,44.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,959164000,22536759,42.0,-100000,2.0,HOLD,4 - Mid
2,NTI,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,702476000,35622500,19.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,1131882000,47122500,24.0,-11500000,-5.0,HOLD,
3,LPLA,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,653142000,17048864,38.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,798058000,21135012,37.0,-4086148,1.0,HOLD,3 - Small
4,NCLH,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,593626000,19242334,30.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,670376000,22117334,30.0,-2875000,0.0,HOLD,4 - Mid
5,GPK,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,556350000,64994130,8.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,534076000,69002093,7.0,-4007963,1.0,HOLD,5 - Large
6,PKY1,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,420035000,23637300,17.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,396035000,23629788,16.0,7512,1.0,BUY-MORE,5 - Large
7,ADVS,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,239467000,7542279,31.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,264432000,7542279,35.0,0,-4.0,BUY-MORE,5 - Large
8,AWI,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,185955000,3383465,54.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,292852000,6127890,47.0,-2744425,7.0,HOLD,3 - Small
9,AVHI,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,160894000,9215017,17.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,45344000,2557474,17.0,6657543,0.0,HOLD,3 - Small
10,EVER1,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,130882000,8737103,14.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,144686000,8737103,16.0,0,-2.0,BUY-MORE,5 - Large
11,GHDX,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,27836000,910273,30.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,28865000,910273,31.0,0,-1.0,BUY-MORE,5 - Large
12,AMRS,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,9191000,3978660,2.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,11498000,3978660,2.0,0,0.0,BUY-MORE,4 - Mid
13,BCRX,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,8461000,1162269,7.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,1802000,1162269,1.0,0,6.0,SELL-PARTIAL,4 - Mid
14,GRO,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,4872000,4325000,1.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,4974000,4325000,1.0,0,0.0,BUY-MORE,5 - Large
15,ACTV,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,826000,57695,14.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,437000,57695,7.0,0,7.0,BUY-MORE,5 - Large
16,XRM,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,729000,62900,11.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-06-30,640000,62900,10.0,0,1.0,HOLD,3 - Small
0,FSL,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-12-31,3147997000,196136895,16.0,TPG GROUP HOLDINGS SBS ADVISORS INC,SHR,2013-09-30,3265679000,196136895,16.0,0,0.0,SELL-PARTIAL,5 - Large
