,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,PG,TREMBLANT CAPITAL GROUP,CLL,2013-09-30,223255000,2953500,75.0,TREMBLANT CAPITAL GROUP,CLL,2013-06-30,216250000,2808800,76.0,144700,-1.0,BUY-MORE,6 - Mega
1,PG,TREMBLANT CAPITAL GROUP,CLL,2013-09-30,223255000,2953500,75.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,109100000,1417069,76.0,1536431,-1.0,SELL-PARTIAL,4 - Mid
2,PG,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,118164000,1563219,75.0,TREMBLANT CAPITAL GROUP,CLL,2013-06-30,216250000,2808800,76.0,-1245581,-1.0,BUY-MORE,4 - Mid
3,PG,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,118164000,1563219,75.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,109100000,1417069,76.0,146150,-1.0,SELL-PARTIAL,4 - Mid
4,RCL,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,98929000,2584346,38.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,69894000,2096404,33.0,487942,5.0,BUY-MORE,4 - Mid
5,V,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,94135000,492598,191.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,68889000,376956,182.0,115642,9.0,BUY-MORE,5 - Large
6,INTC,TREMBLANT CAPITAL GROUP,PUT,2013-09-30,84510000,3687000,22.0,TREMBLANT CAPITAL GROUP,PUT,2013-06-30,18664000,770300,24.0,2916700,-2.0,SELL-PARTIAL,3 - Small
7,OSIS,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,79266000,1065690,74.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,103217000,1602253,64.0,-536563,10.0,BUY-MORE,5 - Large
8,OSIS,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,79266000,1065690,74.0,TREMBLANT CAPITAL GROUP,CLL,2013-06-30,23294000,361600,64.0,704090,10.0,SELL-PARTIAL,5 - Large
9,OSIS,TREMBLANT CAPITAL GROUP,CLL,2013-09-30,27974000,376100,74.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,103217000,1602253,64.0,-1226153,10.0,BUY-MORE,5 - Large
10,OSIS,TREMBLANT CAPITAL GROUP,CLL,2013-09-30,27974000,376100,74.0,TREMBLANT CAPITAL GROUP,CLL,2013-06-30,23294000,361600,64.0,14500,10.0,SELL-PARTIAL,
11,ESRX,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,78017000,1262415,61.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,67203000,1088489,61.0,173926,0.0,SELL-PARTIAL,
12,IMAX,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,73002000,2414078,30.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,57207000,2301153,24.0,112925,6.0,BUY-MORE,5 - Large
13,FB,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,70955000,1412603,50.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,57980000,2330399,24.0,-917796,26.0,BUY-MORE,4 - Mid
14,AMZN,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,70070000,224122,312.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,87645000,315622,277.0,-91500,35.0,BUY-MORE,4 - Mid
15,DNKN,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,69907000,1544557,45.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,63220000,1476410,42.0,68147,3.0,BUY-MORE,4 - Mid
16,SODA,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,67983000,1090088,62.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,43507000,598863,72.0,491225,-10.0,SELL-PARTIAL,4 - Mid
17,SODA,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,67983000,1090088,62.0,TREMBLANT CAPITAL GROUP,CLL,2013-06-30,23401000,322100,72.0,767988,-10.0,SELL-PARTIAL,5 - Large
18,SODA,TREMBLANT CAPITAL GROUP,CLL,2013-09-30,14038000,225100,62.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,43507000,598863,72.0,-373763,-10.0,BUY-MORE,5 - Large
19,SODA,TREMBLANT CAPITAL GROUP,CLL,2013-09-30,14038000,225100,62.0,TREMBLANT CAPITAL GROUP,CLL,2013-06-30,23401000,322100,72.0,-97000,-10.0,BUY-MORE,5 - Large
20,CHTRQ,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,67092000,497861,134.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,66721000,538725,123.0,-40864,11.0,BUY-MORE,5 - Large
21,FTNT,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,65798000,3247703,20.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,44575000,2547122,17.0,700581,3.0,BUY-MORE,4 - Mid
22,GM,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,64173000,1784058,35.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,18278000,548728,33.0,1235330,2.0,BUY-MORE,4 - Mid
23,GM,TREMBLANT CAPITAL GROUP,CLL,2013-09-30,21794000,605900,35.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,18278000,548728,33.0,57172,2.0,BUY-MORE,5 - Large
24,RHT,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,60693000,1315412,46.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,57523000,1202906,47.0,112506,-1.0,SELL-PARTIAL,6 - Mega
25,RHT,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,60693000,1315412,46.0,TREMBLANT CAPITAL GROUP,CLL,2013-06-30,7187000,150300,47.0,1165112,-1.0,SELL-PARTIAL,6 - Mega
26,RHT,TREMBLANT CAPITAL GROUP,CLL,2013-09-30,13837000,299900,46.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,57523000,1202906,47.0,-903006,-1.0,SELL-PARTIAL,6 - Mega
27,RHT,TREMBLANT CAPITAL GROUP,CLL,2013-09-30,13837000,299900,46.0,TREMBLANT CAPITAL GROUP,CLL,2013-06-30,7187000,150300,47.0,149600,-1.0,SELL-PARTIAL,6 - Mega
28,ADT1,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,60352000,1484305,40.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,26920000,675538,39.0,808767,1.0,SELL-PARTIAL,5 - Large
29,ELLI,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,60235000,1881749,32.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,37461000,1623102,23.0,258647,9.0,SELL-PARTIAL,5 - Large
30,HMIN,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,58638000,1766211,33.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,44231000,1655953,26.0,110258,7.0,SELL-PARTIAL,5 - Large
31,TDG,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,58227000,419805,138.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,62153000,396461,156.0,23344,-18.0,BUY-MORE,5 - Large
32,WYND,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,56637000,928933,60.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,45605000,796880,57.0,132053,3.0,BUY-MORE,5 - Large
33,TTSH,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,56567000,1918163,29.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,30655000,1058543,28.0,859620,1.0,SELL-PARTIAL,5 - Large
34,VIAC,TREMBLANT CAPITAL GROUP,SHR,2013-09-30,55310000,1002713,55.0,TREMBLANT CAPITAL GROUP,SHR,2013-06-30,60349000,1234890,48.0,-232177,7.0,SELL-PARTIAL,5 - Large
