,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BBD,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,182495000,13149340,13.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,131393000,10099899,13.0,3049441,0.0,SELL-PARTIAL,6 - Mega
1,TSM,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,174432000,10284906,16.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,87135000,4756303,18.0,5528603,-2.0,SELL-PARTIAL,5 - Large
2,BIDU,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,160601000,1034975,155.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,213156000,2253318,94.0,-1218343,61.0,BUY-MORE,5 - Large
3,MSFT,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,153264000,4605123,33.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,152414000,4412137,34.0,192986,-1.0,SELL-PARTIAL,5 - Large
4,JPM,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,148728000,2877309,51.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,135779000,2572121,52.0,305188,-1.0,SELL-PARTIAL,5 - Large
5,GOOGL,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,132034000,150739,875.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,142203000,161534,880.0,-10795,-5.0,SELL-PARTIAL,5 - Large
6,TTM,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,123499000,4639446,26.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,87452000,3731006,23.0,908440,3.0,SELL-PARTIAL,5 - Large
7,AAPL,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,113893000,238895,476.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,100647000,253835,396.0,-14940,80.0,SELL-PARTIAL,5 - Large
8,ITUB,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,106735000,7559765,14.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,93546000,7241023,12.0,318742,2.0,BUY-MORE,5 - Large
9,MR1,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,105278000,2707119,38.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,97262000,2597120,37.0,109999,1.0,BUY-MORE,4 - Mid
10,CHKP,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,92776000,1640331,56.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,89087000,1793257,49.0,-152926,7.0,BUY-MORE,
11,SLB,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,92360000,1045244,88.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,79174000,1104890,71.0,-59646,17.0,SELL-PARTIAL,5 - Large
12,ABV.C,TRILOGY GLOBAL ADVISORS LP,PRF,2013-09-30,87217000,2274240,38.0,TRILOGY GLOBAL ADVISORS LP,PRF,2013-06-30,35103000,939877,37.0,1334363,1.0,SELL-PARTIAL,6 - Mega
13,PM,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,85502000,987447,86.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,87949000,1015378,86.0,-27931,0.0,BUY-MORE,4 - Mid
14,ESRX,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,85102000,1377086,61.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,82088000,1329635,61.0,47451,0.0,SELL-PARTIAL,6 - Mega
15,EMC,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,82276000,3218955,25.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,73425000,3108597,23.0,110358,2.0,SELL-PARTIAL,5 - Large
16,RYAAY,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,81554000,1639602,49.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,81988000,1591178,51.0,48424,-2.0,BUY-MORE,4 - Mid
17,INFY,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,79148000,1645151,48.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,79267000,1924417,41.0,-279266,7.0,BUY-MORE,5 - Large
18,CIB,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,78828000,1370028,57.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,74152000,1312460,56.0,57568,1.0,SELL-PARTIAL,6 - Mega
19,MBT,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,77880000,3498752,22.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,63817000,3369691,18.0,129061,4.0,SELL-PARTIAL,5 - Large
20,VALE,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,77406000,4958922,15.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,73229000,5568765,13.0,-609843,2.0,SELL-PARTIAL,4 - Mid
21,APA,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,77270000,907543,85.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,70418000,840028,83.0,67515,2.0,SELL-PARTIAL,5 - Large
22,ERJ,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,76817000,2365740,32.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,26533000,719243,36.0,1646497,-4.0,BUY-MORE,5 - Large
23,STJ,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,74146000,1382273,53.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,60899000,1334616,45.0,47657,8.0,BUY-MORE,5 - Large
24,AES,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,72461000,5452075,13.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,63046000,5258207,11.0,193868,2.0,SELL-PARTIAL,5 - Large
25,BRCM,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,71995000,2766978,26.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,25657000,759312,33.0,2007666,-7.0,SELL-PARTIAL,5 - Large
26,CPA,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,71650000,516687,138.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,58399000,445394,131.0,71293,7.0,SELL-PARTIAL,5 - Large
27,CEO,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,70678000,350310,201.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,55789000,333123,167.0,17187,34.0,SELL-PARTIAL,6 - Mega
28,OXY,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,69576000,743811,93.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,63917000,716301,89.0,27510,4.0,SELL-PARTIAL,5 - Large
29,BBBY,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,69146000,893811,77.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,61270000,863604,70.0,30207,7.0,SELL-PARTIAL,5 - Large
30,GE,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,64013000,2679442,23.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,60055000,2589707,23.0,89735,0.0,SELL-PARTIAL,5 - Large
31,A,TRILOGY GLOBAL ADVISORS LP,SHR,2013-09-30,60650000,1183396,51.0,TRILOGY GLOBAL ADVISORS LP,SHR,2013-06-30,76302000,1784417,42.0,-601021,9.0,SELL-PARTIAL,6 - Mega
