,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,SPY,UNITED STATES STEEL CARNEGIE PENSION FUND,FND,2013-09-30,242647000,1444240,168.0,UNITED STATES STEEL CARNEGIE PENSION FUND,FND,2013-06-30,203507000,1268586,160.0,175654,8.0,,
1,SLB,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-09-30,152665000,1727760,88.0,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-06-30,123811000,1727760,71.0,0,17.0,HOLD,6 - Mega
2,QRTEA,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-09-30,146891000,5420261,27.0,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-06-30,164286000,6320261,25.0,-900000,2.0,HOLD,6 - Mega
3,CMCSA,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-09-30,138606000,3197369,43.0,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-06-30,142152000,3583369,39.0,-386000,4.0,SELL-PARTIAL,6 - Mega
4,XOM,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-09-30,136465000,1586068,86.0,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-06-30,143301000,1586068,90.0,0,-4.0,HOLD,5 - Large
5,DIS,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-09-30,134657000,2088023,64.0,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-06-30,131859000,2088023,63.0,0,1.0,HOLD,6 - Mega
6,RDS.A,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-09-30,129164000,1966561,65.0,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-06-30,125467000,1966561,63.0,0,2.0,HOLD,5 - Large
7,JNJ,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-09-30,124090000,1431418,86.0,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-06-30,127478000,1484718,85.0,-53300,1.0,HOLD,6 - Mega
8,NKE,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-09-30,123091000,1694530,72.0,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-06-30,107908000,1694530,63.0,0,9.0,HOLD,5 - Large
9,WFC,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-09-30,118652000,2871546,41.0,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-06-30,136048000,3296546,41.0,-425000,0.0,HOLD,5 - Large
10,WRI,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-09-30,115153000,3926107,29.0,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-06-30,120806000,3926107,30.0,0,-1.0,SELL-PARTIAL,5 - Large
11,MSFT,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-09-30,111415000,3347812,33.0,UNITED STATES STEEL CARNEGIE PENSION FUND,SHR,2013-06-30,126532000,3662812,34.0,-315000,-1.0,HOLD,5 - Large
