,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,VEU,VALMARK ADVISERS INC,FND,2013-09-30,409651000,8429029,48.0,VALMARK ADVISERS INC,FND,2013-06-30,341414000,7720806,44.0,708223,4.0,,
1,IVW,VALMARK ADVISERS INC,FND,2013-09-30,334544000,3743775,89.0,VALMARK ADVISERS INC,FND,2013-06-30,289496000,3445965,84.0,297810,5.0,,
2,IJH,VALMARK ADVISERS INC,FND,2013-09-30,315785000,2543778,124.0,VALMARK ADVISERS INC,FND,2013-06-30,273316000,2366373,115.0,177405,9.0,,
3,IVE,VALMARK ADVISERS INC,FND,2013-09-30,305481000,3900425,78.0,VALMARK ADVISERS INC,FND,2013-06-30,276633000,3650956,75.0,249469,3.0,,
4,IJR,VALMARK ADVISERS INC,FND,2013-09-30,273275000,2738229,99.0,VALMARK ADVISERS INC,FND,2013-06-30,230202000,2549019,90.0,189210,9.0,,
5,TDTT,VALMARK ADVISERS INC,FND,2013-09-30,259203000,10388901,24.0,VALMARK ADVISERS INC,FND,2013-06-30,242313000,9758898,24.0,630003,0.0,,
6,LQD,VALMARK ADVISERS INC,FND,2013-09-30,153862000,1355375,113.0,VALMARK ADVISERS INC,FND,2013-06-30,140436000,1235687,113.0,119688,0.0,,
7,HYG,VALMARK ADVISERS INC,FND,2013-09-30,135518000,1479782,91.0,VALMARK ADVISERS INC,FND,2013-06-30,120610000,1327140,90.0,152642,1.0,,
8,VWO,VALMARK ADVISERS INC,FND,2013-09-30,112454000,2801538,40.0,VALMARK ADVISERS INC,FND,2013-06-30,79656000,2053000,38.0,748538,2.0,,
9,RWX,VALMARK ADVISERS INC,FND,2013-09-30,98567000,2339598,42.0,VALMARK ADVISERS INC,FND,2013-06-30,82678000,2072125,39.0,267473,3.0,,
10,STPZ,VALMARK ADVISERS INC,FND,2013-09-30,96983000,1828491,53.0,VALMARK ADVISERS INC,FND,2013-06-30,86534000,1643251,52.0,185240,1.0,,
11,ELD,VALMARK ADVISERS INC,FND,2013-09-30,84447000,1793689,47.0,VALMARK ADVISERS INC,FND,2013-06-30,74468000,1550119,48.0,243570,-1.0,,
12,IEI,VALMARK ADVISERS INC,FND,2013-09-30,74314000,612492,121.0,VALMARK ADVISERS INC,FND,2013-06-30,73376000,607723,120.0,4769,1.0,,
13,RWR,VALMARK ADVISERS INC,FND,2013-09-30,72971000,1000559,72.0,VALMARK ADVISERS INC,FND,2013-06-30,66527000,875934,75.0,124625,-3.0,,
14,SPSB,VALMARK ADVISERS INC,FND,2013-09-30,67345000,2190800,30.0,VALMARK ADVISERS INC,FND,2013-06-30,64590000,2111476,30.0,79324,0.0,,
15,VSS,VALMARK ADVISERS INC,FND,2013-09-30,65647000,660827,99.0,VALMARK ADVISERS INC,FND,2013-06-30,55237000,619042,89.0,41785,10.0,,
16,WIP,VALMARK ADVISERS INC,FND,2013-09-30,64371000,1080237,59.0,VALMARK ADVISERS INC,FND,2013-06-30,67876000,1179012,57.0,-98775,2.0,,
17,CUT,VALMARK ADVISERS INC,FND,2013-09-30,62252000,2553385,24.0,VALMARK ADVISERS INC,FND,2013-06-30,53017000,2443164,21.0,110221,3.0,,
18,BKLN,VALMARK ADVISERS INC,FND,2013-09-30,49121000,1990320,24.0,VALMARK ADVISERS INC,FND,2013-06-30,46157000,1864912,24.0,125408,0.0,,
19,GNR,VALMARK ADVISERS INC,FND,2013-09-30,27195000,561307,48.0,VALMARK ADVISERS INC,FND,2013-06-30,77779000,1728803,44.0,-1167496,4.0,,
20,VAW,VALMARK ADVISERS INC,FND,2013-09-30,20375000,214091,95.0,VALMARK ADVISERS INC,FND,2013-06-30,17151000,198213,86.0,15878,9.0,,
