,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MSFT,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,27615000,829767,33.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,28202000,816378,34.0,13389,-1.0,BUY-MORE,4 - Mid
1,JNJ,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,27285000,314739,86.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,26849000,312704,85.0,2035,1.0,SELL-PARTIAL,6 - Mega
2,IBM,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,25749000,139051,185.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,26256000,137387,191.0,1664,-6.0,SELL-PARTIAL,6 - Mega
3,T,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,25019000,739760,33.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,25799000,728780,35.0,10980,-2.0,SELL-PARTIAL,6 - Mega
4,XOM,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,23796000,276570,86.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,24856000,275106,90.0,1464,-4.0,SELL-PARTIAL,6 - Mega
5,CVX,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,23706000,195107,121.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,23662000,199949,118.0,-4842,3.0,SELL-PARTIAL,6 - Mega
6,CAT,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,23451000,281190,83.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,22832000,276791,82.0,4399,1.0,SELL-PARTIAL,6 - Mega
7,HON,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,23420000,282031,83.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,22670000,285728,79.0,-3697,4.0,SELL-PARTIAL,6 - Mega
8,VZ,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,23386000,501049,46.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,24983000,496295,50.0,4754,-4.0,SELL-PARTIAL,6 - Mega
9,PFE,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,22901000,797249,28.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,23254000,830216,28.0,-32967,0.0,SELL-PARTIAL,5 - Large
10,CSCO,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,22810000,973493,23.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,24651000,1012997,24.0,-39504,-1.0,SELL-PARTIAL,5 - Large
11,SLB,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,22643000,256260,88.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,18206000,254066,71.0,2194,17.0,SELL-PARTIAL,5 - Large
12,INTC,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,22414000,977880,22.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,23227000,958614,24.0,19266,-2.0,SELL-PARTIAL,6 - Mega
13,DE,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,22272000,273640,81.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,21458000,264100,81.0,9540,0.0,SELL-PARTIAL,5 - Large
14,JPM,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,22182000,429135,51.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,23399000,443245,52.0,-14110,-1.0,SELL-PARTIAL,6 - Mega
15,ORCL,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,21726000,654989,33.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,19714000,641951,30.0,13038,3.0,SELL-PARTIAL,5 - Large
16,RTX,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,21309000,197638,107.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,18429000,198294,92.0,-656,15.0,SELL-PARTIAL,5 - Large
17,COP,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,20748000,298494,69.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,19704000,325680,60.0,-27186,9.0,SELL-PARTIAL,5 - Large
18,UPS,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-09-30,20249000,221612,91.0,VAUGHAN DAVID INVESTMENTS LLC,SHR,2013-06-30,19836000,229371,86.0,-7759,5.0,SELL-PARTIAL,6 - Mega
