,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,HAR,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,163504000,2468730,66.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,152316000,2810275,54.0,-341545,12.0,BUY-MORE,4 - Mid
1,OAS,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,125895000,2562514,49.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,69034000,1776014,38.0,786500,11.0,BUY-MORE,5 - Large
2,ARCC,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,110468000,6389199,17.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,100017000,5814924,17.0,574275,0.0,BUY-MORE,6 - Mega
3,SWKS,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,106015000,4267875,24.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,106262000,4854400,21.0,-586525,3.0,SELL-PARTIAL,4 - Mid
4,KAR,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,100745000,3571275,28.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,77960000,3408775,22.0,162500,6.0,BUY-MORE,6 - Mega
5,FMER,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,100169000,4611823,21.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,83218000,4154648,20.0,457175,1.0,BUY-MORE,5 - Large
6,TW2,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,85962000,803677,106.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,132073000,1611827,81.0,-808150,25.0,BUY-MORE,6 - Mega
7,RAD,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,85807000,18026525,4.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,40852000,14283575,2.0,3742950,2.0,SELL-PARTIAL,6 - Mega
8,HCC1,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,83926000,1915260,43.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,77206000,1790910,43.0,124350,0.0,BUY-MORE,4 - Mid
9,SLGN,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,83217000,1770578,46.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,71547000,1523577,46.0,247001,0.0,BUY-MORE,5 - Large
10,GNC,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,81301000,1488203,54.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,62718000,1418678,44.0,69525,10.0,BUY-MORE,6 - Mega
11,BR,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,80746000,2543149,31.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,64748000,2435975,26.0,107174,5.0,BUY-MORE,4 - Mid
12,PB,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,80089000,1295126,61.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,64295000,1241451,51.0,53675,10.0,BUY-MORE,4 - Mid
13,SSNC,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,75995000,1994625,38.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,66268000,2014225,32.0,-19600,6.0,BUY-MORE,4 - Mid
14,BHC,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,75917000,727666,104.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,62914000,730878,86.0,-3212,18.0,SELL-PARTIAL,4 - Mid
15,GPI,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,74566000,959900,77.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,59123000,919050,64.0,40850,13.0,BUY-MORE,5 - Large
16,LPLA,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,74493000,1944500,38.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,70123000,1857050,37.0,87450,1.0,BUY-MORE,4 - Mid
17,ATW,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,74313000,1350175,55.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,51510000,989625,52.0,360550,3.0,BUY-MORE,5 - Large
18,EPAC,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,74161000,1909385,38.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,68529000,2078522,32.0,-169137,6.0,SELL-PARTIAL,4 - Mid
19,WBS,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,72565000,2842328,25.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,67212000,2617335,25.0,224993,0.0,BUY-MORE,4 - Mid
20,RS,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,71504000,975900,73.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,78479000,1197050,65.0,-221150,8.0,BUY-MORE,4 - Mid
21,WCC,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,68680000,897420,76.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,72415000,1065570,67.0,-168150,9.0,BUY-MORE,4 - Mid
22,EBAY,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,67582000,1211235,55.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,53388000,1032270,51.0,178965,4.0,BUY-MORE,6 - Mega
23,PKG,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,66354000,1162280,57.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,75771000,1547605,48.0,-385325,9.0,BUY-MORE,5 - Large
24,VRNT,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,65810000,1775775,37.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,59896000,1688600,35.0,87175,2.0,BUY-MORE,5 - Large
25,FICO,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,63197000,1143218,55.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,50263000,1096725,45.0,46493,10.0,BUY-MORE,4 - Mid
26,CNO,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,63040000,4377846,14.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,50517000,3897896,12.0,479950,2.0,BUY-MORE,4 - Mid
27,LFUS,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,62751000,802228,78.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,54497000,730428,74.0,71800,4.0,BUY-MORE,5 - Large
28,HON,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-09-30,62660000,754575,83.0,VAUGHAN NELSON INVESTMENT MANAGEMENT LP,SHR,2013-06-30,60484000,762345,79.0,-7770,4.0,BUY-MORE,4 - Mid
