,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,COF,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,1077898000,15680804,68.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,918537000,14624070,62.0,1056734,6.0,BUY-MORE,6 - Mega
1,TWX,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,975161000,14817831,65.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,1532887000,26511363,57.0,-11693532,8.0,BUY-MORE,5 - Large
2,TMO,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,974096000,10570770,92.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,735400000,8689600,84.0,1881170,8.0,BUY-MORE,6 - Mega
3,BHC,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,933712000,8949608,104.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,817093000,9492256,86.0,-542648,18.0,BUY-MORE,6 - Mega
4,DHR,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,792794000,11436737,69.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,773367000,12217494,63.0,-780757,6.0,BUY-MORE,6 - Mega
5,CPRI,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,700019000,9393711,74.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,835703000,13474740,62.0,-4081029,12.0,BUY-MORE,5 - Large
6,LYB,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,681746000,9309665,73.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,698338000,10539365,66.0,-1229700,7.0,BUY-MORE,6 - Mega
7,CMCSK,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,661032000,14652171,45.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,916460000,21951155,41.0,-7298984,4.0,BUY-MORE,5 - Large
8,MU,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,652451000,37349100,17.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,106924000,7461600,14.0,29887500,3.0,BUY-MORE,5 - Large
9,MA,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,513524000,763287,672.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,497111000,865295,574.0,-102008,98.0,BUY-MORE,6 - Mega
10,AGN,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,467846000,3248936,143.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,179200000,1419750,126.0,1829186,17.0,BUY-MORE,5 - Large
11,MON,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,465484000,4459945,104.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,414535000,4195700,98.0,264245,6.0,BUY-MORE,6 - Mega
12,V,VIKING GLOBAL INVESTORS LP,SHR,2013-09-30,451531000,2362800,191.0,VIKING GLOBAL INVESTORS LP,SHR,2013-06-30,440719000,2411597,182.0,-48797,9.0,BUY-MORE,5 - Large
