,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,ABV.C,VONTOBEL ASSET MANAGEMENT INC,PRF,2013-09-30,783235000,20690459,37.0,VONTOBEL ASSET MANAGEMENT INC,PRF,2013-06-30,737595000,19926039,37.0,764420,0.0,BUY-MORE,5 - Large
1,PM,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,665060000,7776214,85.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,624745000,7222067,86.0,554147,-1.0,SELL-PARTIAL,6 - Mega
2,BSMX,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,652480000,47787549,13.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,699585000,49659397,14.0,-1871848,-1.0,SELL-PARTIAL,5 - Large
3,FMX,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,595260000,6216686,95.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,648165000,6340647,102.0,-123961,-7.0,BUY-MORE,5 - Large
4,TV,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,445075000,16091674,27.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,395055000,16015674,24.0,76000,3.0,BUY-MORE,6 - Mega
5,HDB,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,406545000,13301589,30.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,484270000,13340399,36.0,-38810,-6.0,BUY-MORE,6 - Mega
6,CLB,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,288450000,1729841,166.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,280800000,1865799,150.0,-135958,16.0,SELL-PARTIAL,6 - Mega
7,MA,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,261535000,392878,665.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,225390000,386247,583.0,6631,82.0,BUY-MORE,6 - Mega
8,KO,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,253510000,6756439,37.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,250635000,6159053,40.0,597386,-3.0,SELL-PARTIAL,5 - Large
9,EC,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,213480000,4671002,45.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,182875000,4360007,41.0,310995,4.0,BUY-MORE,5 - Large
10,COV,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,178420000,2941259,60.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,30665000,480970,63.0,2460289,-3.0,SELL-PARTIAL,6 - Mega
11,KOF,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,166390000,1337676,124.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,186570000,1341626,139.0,-3950,-15.0,BUY-MORE,6 - Mega
12,GOLD1,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,164910000,2355064,70.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,146820000,2333746,62.0,21318,8.0,BUY-MORE,5 - Large
13,SQM,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,152130000,5033114,30.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,71600000,1775372,40.0,3257742,-10.0,SELL-PARTIAL,5 - Large
14,MO,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,139285000,4091533,34.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,139770000,3940978,35.0,150555,-1.0,BUY-MORE,5 - Large
15,LVS,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,135355000,2059178,65.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,82355000,1534264,53.0,524914,12.0,BUY-MORE,5 - Large
16,JNJ,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,123835000,1440945,85.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,121670000,1398386,87.0,42559,-2.0,SELL-PARTIAL,5 - Large
17,ACN,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,112795000,1564000,72.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,116520000,1647511,70.0,-83511,2.0,BUY-MORE,5 - Large
18,BVN,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,111510000,9652844,11.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,183005000,12494027,14.0,-2841183,-3.0,SELL-PARTIAL,5 - Large
19,AMZN,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,97240000,313949,309.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,93390000,332319,281.0,-18370,28.0,BUY-MORE,6 - Mega
20,CTSH,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,91735000,1127737,81.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,62310000,984362,63.0,143375,18.0,SELL-PARTIAL,6 - Mega
21,MJN,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,77045000,1045412,73.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,76500000,953572,80.0,91840,-7.0,SELL-PARTIAL,5 - Large
22,NTES,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,75845000,1044577,72.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,65985000,1044577,63.0,0,9.0,BUY-MORE,5 - Large
23,BKNG,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,67840000,67708,1001.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,55035000,65703,837.0,2005,164.0,BUY-MORE,6 - Mega
24,CMG,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,59180000,139430,424.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,55510000,150417,369.0,-10987,55.0,SELL-PARTIAL,5 - Large
25,DEO,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,47630000,374793,127.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,44345000,385793,114.0,-11000,13.0,BUY-MORE,6 - Mega
26,COF,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,46990000,687474,68.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,59610000,937267,63.0,-249793,5.0,SELL-PARTIAL,5 - Large
27,MDLZ,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,43940000,1398475,31.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,38085000,1334950,28.0,63525,3.0,SELL-PARTIAL,5 - Large
28,RAI,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,39535000,810500,48.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,37120000,767475,48.0,43025,0.0,BUY-MORE,5 - Large
29,MSI,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,38875000,654675,59.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,38695000,670275,57.0,-15600,2.0,BUY-MORE,5 - Large
30,NEM,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,31815000,1132276,28.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,50890000,1699176,29.0,-566900,-1.0,BUY-MORE,5 - Large
31,BYI,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,31575000,438178,72.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,28895000,512128,56.0,-73950,16.0,BUY-MORE,5 - Large
32,GOOGL,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-09-30,30795000,35159,875.0,VONTOBEL ASSET MANAGEMENT INC,SHR,2013-06-30,59100000,67134,880.0,-31975,-5.0,BUY-MORE,5 - Large
