,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,AAPL,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,175777000,368699,476.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,115622000,291585,396.0,77114,80.0,BUY-MORE,5 - Large
1,RE,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,159809000,1099023,145.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,106687000,831802,128.0,267221,17.0,BUY-MORE,5 - Large
2,ORCL,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,156113000,4706439,33.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,110422000,3595626,30.0,1110813,3.0,BUY-MORE,6 - Mega
3,NDAQ,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,130631000,4068222,32.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,93874000,2862886,32.0,1205336,0.0,BUY-MORE,5 - Large
4,BK,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,124180000,4113298,30.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,87017000,3102213,28.0,1011085,2.0,BUY-MORE,5 - Large
5,BEN,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,123850000,2450044,50.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,68034000,500179,136.0,1949865,-86.0,BUY-MORE,5 - Large
6,QCOM,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,120221000,1785813,67.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,66953000,1095965,61.0,689848,6.0,SELL-PARTIAL,5 - Large
7,HOT,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,117395000,1766674,66.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,66436000,1051372,63.0,715302,3.0,BUY-MORE,6 - Mega
8,MA,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,106716000,158619,672.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,71653000,124722,574.0,33897,98.0,BUY-MORE,6 - Mega
9,DOV,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,105303000,1172244,89.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,80249000,1033343,77.0,138901,12.0,BUY-MORE,5 - Large
10,IHG,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,101575000,3477394,29.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,68928000,2509220,27.0,968174,2.0,SELL-PARTIAL,5 - Large
11,CSCO,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,98867000,4219501,23.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,71912000,2955095,24.0,1264406,-1.0,BUY-MORE,5 - Large
12,DISCK,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,90122000,1153638,78.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,59183000,848230,69.0,305408,9.0,SELL-PARTIAL,6 - Mega
13,DIS,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,87314000,1353915,64.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,61653000,976287,63.0,377628,1.0,SELL-PARTIAL,5 - Large
14,KO,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,80696000,2130308,37.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,59802000,1490955,40.0,639353,-3.0,SELL-PARTIAL,4 - Mid
15,CNVR,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,78582000,3767105,20.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,52452000,2122694,24.0,1644411,-4.0,SELL-PARTIAL,5 - Large
16,V,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,76479000,400204,191.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,52806000,288952,182.0,111252,9.0,BUY-MORE,5 - Large
17,PH,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,76445000,703134,108.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,50555000,529926,95.0,173208,13.0,SELL-PARTIAL,5 - Large
18,CB1,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,72013000,806777,89.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,49814000,588475,84.0,218302,5.0,SELL-PARTIAL,5 - Large
19,CHKP,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,71457000,1263386,56.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,64440000,1297095,49.0,-33709,7.0,BUY-MORE,6 - Mega
20,RTX,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,70287000,651889,107.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,53778000,578632,92.0,73257,15.0,BUY-MORE,4 - Mid
21,CHE,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,67190000,939717,71.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,32910000,454370,72.0,485347,-1.0,BUY-MORE,4 - Mid
22,ESRX,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,56938000,921326,61.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,40157000,650422,61.0,270904,0.0,BUY-MORE,
23,ACIW,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,55396000,1024715,54.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,39552000,850955,46.0,173760,8.0,BUY-MORE,4 - Mid
24,HPY,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,54880000,1381667,39.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,53716000,1442029,37.0,-60362,2.0,SELL-PARTIAL,3 - Small
25,TWX,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,48424000,735814,65.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,32341000,559339,57.0,176475,8.0,SELL-PARTIAL,4 - Mid
26,NAVG,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,43457000,752247,57.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,29482000,516874,57.0,235373,0.0,SELL-PARTIAL,3 - Small
27,LYV,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,42660000,2299730,18.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,27322000,1762698,15.0,537032,3.0,BUY-MORE,5 - Large
28,CME,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,42633000,577057,73.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,33271000,438066,75.0,138991,-2.0,SELL-PARTIAL,4 - Mid
29,JW.A,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,40799000,855512,47.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,27229000,679186,40.0,176326,7.0,SELL-PARTIAL,4 - Mid
30,GOOGL,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,39047000,44579,875.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,32584000,37012,880.0,7567,-5.0,SELL-PARTIAL,4 - Mid
31,UN,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,36356000,963844,37.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,24374000,620056,39.0,343788,-2.0,BUY-MORE,4 - Mid
32,FICO,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,35990000,651055,55.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,23386000,510281,45.0,140774,10.0,BUY-MORE,3 - Small
33,GPN,VULCAN VALUE PARTNERS LLC,SHR,2013-09-30,35005000,685298,51.0,VULCAN VALUE PARTNERS LLC,SHR,2013-06-30,23395000,505082,46.0,180216,5.0,SELL-PARTIAL,4 - Mid
