,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NYX,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,209734000,4996051,41.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,225219000,5440079,41.0,-444028,0.0,SELL-PARTIAL,5 - Large
1,LIFE2,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,166626000,2226730,74.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,144790000,1956361,74.0,270369,0.0,BUY-MORE,5 - Large
2,NVE,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,138513000,5866689,23.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,34620000,1475723,23.0,4390966,0.0,BUY-MORE,4 - Mid
3,LPS,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,128750000,3869854,33.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,108286000,3347344,32.0,522510,1.0,SELL-PARTIAL,5 - Large
4,DELL1,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,125472000,9111954,13.0,WATER ISLAND CAPITAL LLC,CLL,2013-06-30,77000,110000,0.0,9001954,13.0,BUY-MORE,4 - Mid
5,HCBK,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,123913000,13692071,9.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,149959000,16371133,9.0,-2679062,0.0,BUY-MORE,4 - Mid
6,ELN,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,123109000,7901701,15.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,641000,45387,14.0,7856314,1.0,BUY-MORE,4 - Mid
7,HL,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,114056000,2318684,49.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,359000,120497,2.0,2198187,47.0,BUY-MORE,4 - Mid
8,VHS,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,110044000,5240201,20.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,53908000,2599256,20.0,2640945,0.0,BUY-MORE,4 - Mid
9,CTB,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,77652000,2519438,30.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,69172000,2085392,33.0,434046,-3.0,BUY-MORE,4 - Mid
10,CTB,WATER ISLAND CAPITAL LLC,PUT,2013-09-30,2758000,1511100,1.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,69172000,2085392,33.0,-574292,-32.0,BUY-MORE,4 - Mid
11,LSE,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,64980000,7653725,8.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,37654000,4461468,8.0,3192257,0.0,SELL-PARTIAL,4 - Mid
12,RUE,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,62089000,1539131,40.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,30586000,735068,41.0,804063,-1.0,BUY-MORE,4 - Mid
13,RUE,WATER ISLAND CAPITAL LLC,PUT,2013-09-30,81000,83200,0.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,30586000,735068,41.0,-651868,-41.0,HOLD,4 - Mid
14,BLC,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,60162000,4391386,13.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,46049000,3301061,13.0,1090325,0.0,BUY-MORE,3 - Small
15,STEI,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,58956000,4486777,13.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,52520000,4012278,13.0,474499,0.0,BUY-MORE,4 - Mid
16,STEI,WATER ISLAND CAPITAL LLC,SHR,2013-09-30,58956000,4486777,13.0,WATER ISLAND CAPITAL LLC,DBT,2013-06-30,5584000,4329000,1.0,157777,12.0,BUY-MORE,3 - Small
17,STEI,WATER ISLAND CAPITAL LLC,DBT,2013-09-30,5628000,4329000,1.0,WATER ISLAND CAPITAL LLC,SHR,2013-06-30,52520000,4012278,13.0,316722,-12.0,BUY-MORE,4 - Mid
