,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CL,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,87062000,1468156,59.0,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,77356000,1350250,57.0,117906,2.0,BUY-MORE,6 - Mega
1,CMI,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,80597000,606582,132.0,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,50726000,467696,108.0,138886,24.0,BUY-MORE,6 - Mega
2,PFE,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,77537000,2699292,28.0,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,76639000,2736136,28.0,-36844,0.0,BUY-MORE,5 - Large
3,MSFT,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,75978000,2282995,33.0,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,90631000,2623555,34.0,-340560,-1.0,BUY-MORE,6 - Mega
4,GOOGL,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,65946000,75289,875.0,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,55095000,62582,880.0,12707,-5.0,SELL-PARTIAL,6 - Mega
5,AXP,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,58408000,773416,75.0,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,51933000,694663,74.0,78753,1.0,BUY-MORE,6 - Mega
6,RTX,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,48380000,448708,107.0,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,36920000,397248,92.0,51460,15.0,BUY-MORE,5 - Large
7,TWX,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,46630000,708554,65.0,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,42552000,735937,57.0,-27383,8.0,SELL-PARTIAL,5 - Large
8,QCOM,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,46481000,690451,67.0,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,44825000,733751,61.0,-43300,6.0,BUY-MORE,5 - Large
9,BRK.B,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,40374000,355684,113.0,WAVERTON INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,29002000,259135,111.0,96549,2.0,BUY-MORE,5 - Large
