,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,ADBE,WESTEND ADVISORS LLC,SHR,2013-09-30,170850293,3289378,51.0,WESTEND ADVISORS LLC,SHR,2013-06-30,161429194,3543222,45.0,-253844,6.0,BUY-MORE,5 - Large
1,NKE,WESTEND ADVISORS LLC,SHR,2013-09-30,169737161,2336690,72.0,WESTEND ADVISORS LLC,SHR,2013-06-30,158712784,2492349,63.0,-155659,9.0,SELL-PARTIAL,6 - Mega
2,WFM,WESTEND ADVISORS LLC,SHR,2013-09-30,161356747,2758235,58.0,WESTEND ADVISORS LLC,SHR,2013-06-30,151087983,2934887,51.0,-176652,7.0,SELL-PARTIAL,5 - Large
3,QCOM,WESTEND ADVISORS LLC,SHR,2013-09-30,156553931,2325518,67.0,WESTEND ADVISORS LLC,SHR,2013-06-30,151659156,2482553,61.0,-157035,6.0,SELL-PARTIAL,6 - Mega
4,CCI,WESTEND ADVISORS LLC,SHR,2013-09-30,153769046,2105560,73.0,WESTEND ADVISORS LLC,SHR,2013-06-30,157554229,2176464,72.0,-70904,1.0,SELL-PARTIAL,5 - Large
5,MDLZ,WESTEND ADVISORS LLC,SHR,2013-09-30,151520562,4822424,31.0,WESTEND ADVISORS LLC,SHR,2013-06-30,144835883,5076617,28.0,-254193,3.0,BUY-MORE,5 - Large
6,COST,WESTEND ADVISORS LLC,SHR,2013-09-30,151314837,1313839,115.0,WESTEND ADVISORS LLC,SHR,2013-06-30,153048672,1384179,110.0,-70340,5.0,SELL-PARTIAL,6 - Mega
7,EL,WESTEND ADVISORS LLC,SHR,2013-09-30,150009803,2146063,69.0,WESTEND ADVISORS LLC,SHR,2013-06-30,145959546,2219242,65.0,-73179,4.0,SELL-PARTIAL,6 - Mega
8,EMC,WESTEND ADVISORS LLC,SHR,2013-09-30,149146561,5835155,25.0,WESTEND ADVISORS LLC,SHR,2013-06-30,145559431,6162550,23.0,-327395,2.0,SELL-PARTIAL,5 - Large
9,JNJ,WESTEND ADVISORS LLC,SHR,2013-09-30,147715425,1703950,86.0,WESTEND ADVISORS LLC,SHR,2013-06-30,153982268,1793411,85.0,-89461,1.0,SELL-PARTIAL,6 - Mega
10,DIS,WESTEND ADVISORS LLC,SHR,2013-09-30,147617803,2289003,64.0,WESTEND ADVISORS LLC,SHR,2013-06-30,150028360,2375746,63.0,-86743,1.0,SELL-PARTIAL,6 - Mega
11,ORCL,WESTEND ADVISORS LLC,SHR,2013-09-30,145462689,4385369,33.0,WESTEND ADVISORS LLC,SHR,2013-06-30,138200036,4500164,30.0,-114795,3.0,SELL-PARTIAL,5 - Large
12,ESRX,WESTEND ADVISORS LLC,SHR,2013-09-30,144683935,2341164,61.0,WESTEND ADVISORS LLC,SHR,2013-06-30,151244848,2449706,61.0,-108542,0.0,SELL-PARTIAL,6 - Mega
13,TPR,WESTEND ADVISORS LLC,SHR,2013-09-30,143267596,2627317,54.0,WESTEND ADVISORS LLC,SHR,2013-06-30,151939212,2661398,57.0,-34081,-3.0,BUY-MORE,5 - Large
14,CVS,WESTEND ADVISORS LLC,SHR,2013-09-30,142205966,2505832,56.0,WESTEND ADVISORS LLC,SHR,2013-06-30,148649988,2599685,57.0,-93853,-1.0,BUY-MORE,6 - Mega
15,JWN,WESTEND ADVISORS LLC,SHR,2013-09-30,142118616,2528801,56.0,WESTEND ADVISORS LLC,SHR,2013-06-30,156103720,2604333,59.0,-75532,-3.0,BUY-MORE,6 - Mega
16,IBM,WESTEND ADVISORS LLC,SHR,2013-09-30,138599452,748458,185.0,WESTEND ADVISORS LLC,SHR,2013-06-30,144551208,756377,191.0,-7919,-6.0,SELL-PARTIAL,6 - Mega
17,TGT,WESTEND ADVISORS LLC,SHR,2013-09-30,138589503,2166137,63.0,WESTEND ADVISORS LLC,SHR,2013-06-30,152360525,2212613,68.0,-46476,-5.0,SELL-PARTIAL,6 - Mega
18,CELG,WESTEND ADVISORS LLC,SHR,2013-09-30,90738518,588676,154.0,WESTEND ADVISORS LLC,SHR,2013-06-30,76175855,651187,116.0,-62511,38.0,SELL-PARTIAL,5 - Large
19,GILD,WESTEND ADVISORS LLC,SHR,2013-09-30,85907014,1366423,62.0,WESTEND ADVISORS LLC,SHR,2013-06-30,76901103,1499924,51.0,-133501,11.0,SELL-PARTIAL,6 - Mega
20,BIIB,WESTEND ADVISORS LLC,SHR,2013-09-30,83119982,345240,240.0,WESTEND ADVISORS LLC,SHR,2013-06-30,79504349,369444,215.0,-24204,25.0,SELL-PARTIAL,6 - Mega
21,AMGN,WESTEND ADVISORS LLC,SHR,2013-09-30,80277865,717279,111.0,WESTEND ADVISORS LLC,SHR,2013-06-30,76006480,770388,98.0,-53109,13.0,SELL-PARTIAL,5 - Large
22,VEU,WESTEND ADVISORS LLC,FND,2013-09-30,2900448,59680,48.0,WESTEND ADVISORS LLC,FND,2013-06-30,4156857,94004,44.0,-34324,4.0,SELL-PARTIAL,5 - Large
23,VXF,WESTEND ADVISORS LLC,FND,2013-09-30,1094487,14192,77.0,WESTEND ADVISORS LLC,FND,2013-06-30,3695404,52920,69.0,-38728,8.0,SELL-PARTIAL,5 - Large
24,AAXJ,WESTEND ADVISORS LLC,FND,2013-09-30,706936,12130,58.0,WESTEND ADVISORS LLC,FND,2013-06-30,2051410,37455,54.0,-25325,4.0,,
25,XLK,WESTEND ADVISORS LLC,FND,2013-09-30,657781,20530,32.0,WESTEND ADVISORS LLC,FND,2013-06-30,1211213,39608,30.0,-19078,2.0,,
26,XLY,WESTEND ADVISORS LLC,FND,2013-09-30,548580,9048,60.0,WESTEND ADVISORS LLC,FND,2013-06-30,1006627,17848,56.0,-8800,4.0,,
27,XLP,WESTEND ADVISORS LLC,FND,2013-09-30,545737,13712,39.0,WESTEND ADVISORS LLC,FND,2013-06-30,1000755,25227,39.0,-11515,0.0,,
28,XLV,WESTEND ADVISORS LLC,FND,2013-09-30,438311,8664,50.0,WESTEND ADVISORS LLC,FND,2013-06-30,800229,16808,47.0,-8144,3.0,,
29,IGSB,WESTEND ADVISORS LLC,FND,2013-09-30,224035,2128,105.0,WESTEND ADVISORS LLC,FND,2013-06-30,333155,3172,105.0,-1044,0.0,HOLD,5 - Large
30,IWV,WESTEND ADVISORS LLC,FND,2013-09-30,145540,1439,101.0,WESTEND ADVISORS LLC,FND,2013-06-30,192318,1995,96.0,-556,5.0,SELL-PARTIAL,5 - Large
31,LQD,WESTEND ADVISORS LLC,FND,2013-09-30,91043,802,113.0,WESTEND ADVISORS LLC,FND,2013-06-30,127402,1121,113.0,-319,0.0,SELL-PARTIAL,5 - Large
32,JNK,WESTEND ADVISORS LLC,FND,2013-09-30,66134,1660,39.0,WESTEND ADVISORS LLC,FND,2013-06-30,101410,2568,39.0,-908,0.0,,
0,ORCL,WESTEND ADVISORS LLC,SHR,2013-12-31,148123781,3871505,38.0,WESTEND ADVISORS LLC,SHR,2013-09-30,145462689,4385369,33.0,-513864,5.0,BUY-MORE,5 - Large
1,CVS,WESTEND ADVISORS LLC,SHR,2013-12-31,146842173,2051728,71.0,WESTEND ADVISORS LLC,SHR,2013-09-30,142205966,2505832,56.0,-454104,15.0,SELL-PARTIAL,6 - Mega
2,DIS,WESTEND ADVISORS LLC,SHR,2013-12-31,144913916,1896779,76.0,WESTEND ADVISORS LLC,SHR,2013-09-30,147617803,2289003,64.0,-392224,12.0,SELL-PARTIAL,5 - Large
3,ESRX,WESTEND ADVISORS LLC,SHR,2013-12-31,143253637,2039488,70.0,WESTEND ADVISORS LLC,SHR,2013-09-30,144683935,2341164,61.0,-301676,9.0,SELL-PARTIAL,6 - Mega
4,ADBE,WESTEND ADVISORS LLC,SHR,2013-12-31,142609909,2381595,59.0,WESTEND ADVISORS LLC,SHR,2013-09-30,170850293,3289378,51.0,-907783,8.0,SELL-PARTIAL,5 - Large
5,QCOM,WESTEND ADVISORS LLC,SHR,2013-12-31,139196393,1874699,74.0,WESTEND ADVISORS LLC,SHR,2013-09-30,156553931,2325518,67.0,-450819,7.0,BUY-MORE,5 - Large
6,EMC,WESTEND ADVISORS LLC,SHR,2013-12-31,138036806,5488541,25.0,WESTEND ADVISORS LLC,SHR,2013-09-30,149146561,5835155,25.0,-346614,0.0,SELL-PARTIAL,6 - Mega
7,MDLZ,WESTEND ADVISORS LLC,SHR,2013-12-31,138029636,3910188,35.0,WESTEND ADVISORS LLC,SHR,2013-09-30,151520562,4822424,31.0,-912236,4.0,SELL-PARTIAL,6 - Mega
8,EL,WESTEND ADVISORS LLC,SHR,2013-12-31,137697463,1828166,75.0,WESTEND ADVISORS LLC,SHR,2013-09-30,150009803,2146063,69.0,-317897,6.0,SELL-PARTIAL,5 - Large
9,TPR,WESTEND ADVISORS LLC,SHR,2013-12-31,137663035,2452575,56.0,WESTEND ADVISORS LLC,SHR,2013-09-30,143267596,2627317,54.0,-174742,2.0,SELL-PARTIAL,6 - Mega
10,NKE,WESTEND ADVISORS LLC,SHR,2013-12-31,135218885,1719467,78.0,WESTEND ADVISORS LLC,SHR,2013-09-30,169737161,2336690,72.0,-617223,6.0,SELL-PARTIAL,6 - Mega
11,JWN,WESTEND ADVISORS LLC,SHR,2013-12-31,133835872,2165629,61.0,WESTEND ADVISORS LLC,SHR,2013-09-30,142118616,2528801,56.0,-363172,5.0,SELL-PARTIAL,5 - Large
12,COST,WESTEND ADVISORS LLC,SHR,2013-12-31,132138622,1110222,119.0,WESTEND ADVISORS LLC,SHR,2013-09-30,151314837,1313839,115.0,-203617,4.0,SELL-PARTIAL,6 - Mega
13,JNJ,WESTEND ADVISORS LLC,SHR,2013-12-31,130704151,1427057,91.0,WESTEND ADVISORS LLC,SHR,2013-09-30,147715425,1703950,86.0,-276893,5.0,BUY-MORE,5 - Large
14,CCI,WESTEND ADVISORS LLC,SHR,2013-12-31,129793399,1767580,73.0,WESTEND ADVISORS LLC,SHR,2013-09-30,153769046,2105560,73.0,-337980,0.0,BUY-MORE,6 - Mega
