,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,ALKS,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-03-31,170697000,2799690,60.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2014-12-31,125151000,1975057,63.0,824633,-3.0,BUY-MORE,
1,PRTA,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-03-31,141430000,3708171,38.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2014-12-31,69348000,3237363,21.0,470808,17.0,BUY-MORE,4 - Mid
2,NWBO,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-03-31,69131000,9379987,7.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2014-12-31,36181000,6763050,5.0,2616937,2.0,HOLD,4 - Mid
0,RAI,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-06-30,539131000,7221145,74.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-03-31,323082000,4688458,68.0,2532687,6.0,BUY-MORE,
1,ALKS,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-06-30,307457000,4778633,64.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-03-31,170697000,2799690,60.0,1978943,4.0,BUY-MORE,4 - Mid
2,PRTA,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-06-30,291135000,5527525,52.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-03-31,141430000,3708171,38.0,1819354,14.0,HOLD,4 - Mid
3,NWBO,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-06-30,166043000,16721392,9.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-03-31,69131000,9379987,7.0,7341405,2.0,BUY-MORE,5 - Large
0,RAI,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-09-30,726351000,16407290,44.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-06-30,539131000,7221145,74.0,9186145,-30.0,BUY-MORE,
1,ALKS,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-09-30,305473000,5206633,58.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-06-30,307457000,4778633,64.0,428000,-6.0,BUY-MORE,4 - Mid
2,PRTA,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-09-30,281222000,6202525,45.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-06-30,291135000,5527525,52.0,675000,-7.0,HOLD,4 - Mid
3,NWBO,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-09-30,127884000,20461392,6.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-06-30,166043000,16721392,9.0,3740000,-3.0,BUY-MORE,5 - Large
0,RAI,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-12-31,769994000,16684590,46.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-09-30,726351000,16407290,44.0,277300,2.0,BUY-MORE,
1,ABBV,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-12-31,520957000,8794000,59.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-09-30,287165000,5277800,54.0,3516200,5.0,BUY-MORE,4 - Mid
2,ALKS,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-12-31,439413000,5535569,79.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-09-30,305473000,5206633,58.0,328936,21.0,HOLD,4 - Mid
3,PRTA,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-12-31,434519000,6379661,68.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-09-30,281222000,6202525,45.0,177136,23.0,BUY-MORE,5 - Large
4,TBPH,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-12-31,82960000,5061637,16.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-09-30,3964000,360685,10.0,4700952,6.0,SELL-PARTIAL,5 - Large
5,NWBO,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-12-31,82931000,25915937,3.0,WOODFORD INVESTMENT MANAGEMENT LTD,SHR,2015-09-30,127884000,20461392,6.0,5454545,-3.0,SELL-PARTIAL,5 - Large
