,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BRK.B,WS MANAGEMENT LLLP,SHR,2013-09-30,379177000,3340476,113.0,WS MANAGEMENT LLLP,SHR,2013-06-30,453796000,4054648,111.0,-714172,2.0,SELL-PARTIAL,5 - Large
1,BRK.B,WS MANAGEMENT LLLP,SHR,2013-09-30,379177000,3340476,113.0,WS MANAGEMENT LLLP,CLL,2013-06-30,1679000,15000,111.0,3325476,2.0,SELL-PARTIAL,5 - Large
2,BRK.B,WS MANAGEMENT LLLP,CLL,2013-09-30,35756000,315000,113.0,WS MANAGEMENT LLLP,SHR,2013-06-30,453796000,4054648,111.0,-3739648,2.0,BUY-MORE,5 - Large
3,BRK.B,WS MANAGEMENT LLLP,CLL,2013-09-30,35756000,315000,113.0,WS MANAGEMENT LLLP,CLL,2013-06-30,1679000,15000,111.0,300000,2.0,SELL-PARTIAL,5 - Large
4,BRK.A,WS MANAGEMENT LLLP,SHR,2013-09-30,325313000,1909,170410.0,WS MANAGEMENT LLLP,SHR,2013-06-30,321857000,1909,168599.0,0,1811.0,SELL-PARTIAL,5 - Large
5,WFC,WS MANAGEMENT LLLP,SHR,2013-09-30,176571000,4273249,41.0,WS MANAGEMENT LLLP,SHR,2013-06-30,176357000,4273249,41.0,0,0.0,BUY-MORE,5 - Large
6,CSCO,WS MANAGEMENT LLLP,SHR,2013-09-30,128870000,5500000,23.0,WS MANAGEMENT LLLP,CLL,2013-06-30,139992000,5752700,24.0,-252700,-1.0,BUY-MORE,5 - Large
7,CSCO,WS MANAGEMENT LLLP,SHR,2013-09-30,128870000,5500000,23.0,WS MANAGEMENT LLLP,SHR,2013-06-30,102333000,4205182,24.0,1294818,-1.0,BUY-MORE,5 - Large
8,CSCO,WS MANAGEMENT LLLP,CLL,2013-09-30,50377000,2150000,23.0,WS MANAGEMENT LLLP,CLL,2013-06-30,139992000,5752700,24.0,-3602700,-1.0,SELL-PARTIAL,5 - Large
9,CSCO,WS MANAGEMENT LLLP,CLL,2013-09-30,50377000,2150000,23.0,WS MANAGEMENT LLLP,SHR,2013-06-30,102333000,4205182,24.0,-2055182,-1.0,SELL-PARTIAL,5 - Large
10,KMX,WS MANAGEMENT LLLP,SHR,2013-09-30,116934000,2412500,48.0,WS MANAGEMENT LLLP,SHR,2013-06-30,139057000,3012500,46.0,-600000,2.0,BUY-MORE,5 - Large
11,GMCR,WS MANAGEMENT LLLP,SHR,2013-09-30,109454000,1453000,75.0,WS MANAGEMENT LLLP,SHR,2013-06-30,149157000,1983000,75.0,-530000,0.0,SELL-PARTIAL,5 - Large
