,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,HTZ,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,273268000,12331602,22.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,305366000,12313164,24.0,18438,-2.0,BUY-MORE,3 - Small
1,HTZ,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,273268000,12331602,22.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,CLL,2013-06-30,12400000,500000,24.0,11831602,-2.0,BUY-MORE,3 - Small
2,HTZ,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,CLL,2013-09-30,4432000,200000,22.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,305366000,12313164,24.0,-12113164,-2.0,SELL-PARTIAL,5 - Large
3,HTZ,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,CLL,2013-09-30,4432000,200000,22.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,CLL,2013-06-30,12400000,500000,24.0,-300000,-2.0,BUY-MORE,5 - Large
4,IWM,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,PUT,2013-09-30,213220000,2000000,106.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,PUT,2013-06-30,344350000,3550000,97.0,-1550000,9.0,BUY-MORE,4 - Mid
5,ELN,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,205592000,13195903,15.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,235389000,16647010,14.0,-3451107,1.0,BUY-MORE,5 - Large
6,PDH,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,198023000,16557081,11.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,219381000,16557081,13.0,0,-2.0,SELL-PARTIAL,5 - Large
7,CHMT,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,172273000,7493397,22.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,115565000,5692836,20.0,1800561,2.0,SELL-PARTIAL,4 - Mid
8,GRA,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,165188000,1890026,87.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,3782000,45000,84.0,1845026,3.0,SELL-PARTIAL,4 - Mid
9,GM,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,164051000,4560760,35.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,1696000,50911,33.0,4509849,2.0,SELL-PARTIAL,5 - Large
10,GM,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,164051000,4560760,35.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,WNT,2013-06-30,851000,42186,20.0,4518574,15.0,SELL-PARTIAL,5 - Large
11,GM,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,WNT,2013-09-30,949000,42186,22.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,1696000,50911,33.0,-8725,-11.0,BUY-MORE,5 - Large
12,GM,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,WNT,2013-09-30,949000,42186,22.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,WNT,2013-06-30,851000,42186,20.0,0,2.0,SELL-PARTIAL,5 - Large
13,CBRE,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,160565000,6941861,23.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,147184000,6300695,23.0,641166,0.0,SELL-PARTIAL,4 - Mid
14,SE1,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,146778000,4287999,34.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,145257000,4215240,34.0,72759,0.0,SELL-PARTIAL,3 - Small
15,DISH,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,136056000,3022797,45.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,87592000,2060025,42.0,962772,3.0,SELL-PARTIAL,5 - Large
16,CP,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,113808000,923021,123.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,CLL,2013-06-30,18207000,150000,121.0,773021,2.0,BUY-MORE,4 - Mid
17,CP,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-09-30,113808000,923021,123.0,YORK CAPITAL MANAGEMENT GLOBAL ADVISORS LLC,SHR,2013-06-30,4371000,36013,121.0,887008,2.0,SELL-PARTIAL,4 - Mid
